EDA_1646039930.000000,EDA_id,TEMP_1646039930.000000,BVP_1646039930.00,HR_1646039940.000000
4.0,S19,4.0,64.0,1.0
0.0,S19,30.93,-0.0,90.0
0.082,S19,30.93,-0.0,82.5
0.123,S19,30.93,-0.0,80.33
0.119157,S19,30.93,-0.0,81.0
0.119157,S19,30.93,-0.0,76.6
0.120438,S19,30.93,-0.0,72.83
0.119157,S19,30.93,-0.0,72.29
0.121719,S19,30.93,-0.0,72.0
0.120438,S19,30.95,-0.0,72.0
0.120438,S19,30.95,-0.0,72.2
0.119157,S19,30.95,0.0,72.45
0.121719,S19,30.95,0.01,72.67
0.120438,S19,30.93,0.01,72.85
0.121719,S19,30.93,-0.0,73.0
0.120438,S19,30.93,-0.03,73.13
0.121719,S19,30.93,-0.05,73.12
0.121719,S19,30.95,-0.05,73.06
0.119157,S19,30.95,0.0,72.89
0.120438,S19,30.95,0.13,72.68
0.120438,S19,30.95,0.36,72.5
0.121719,S19,30.95,0.66,72.33
0.121719,S19,30.95,1.01,72.18
0.120438,S19,30.95,1.37,72.04
0.120438,S19,30.95,1.72,71.88
0.119157,S19,30.95,2.06,71.76
0.121719,S19,30.95,2.4,71.65
0.116594,S19,30.95,2.79,71.56
0.119157,S19,30.95,3.24,71.36
0.116594,S19,30.97,3.8,71.48
0.114032,S19,30.97,4.42,71.6
0.11275,S19,30.97,5.06,71.68
0.115313,S19,30.97,5.66,71.72
0.115313,S19,30.95,6.2,72.03
0.116594,S19,30.95,6.68,72.29
0.114032,S19,30.95,7.15,72.66
0.114032,S19,30.95,7.68,72.97
0.115313,S19,30.95,8.31,73.24
0.115313,S19,30.95,9.14,73.61
0.116594,S19,30.95,10.09,73.77
0.116594,S19,30.95,11.04,73.97
0.115313,S19,30.95,11.88,74.12
0.115313,S19,30.95,12.56,74.29
0.115313,S19,30.95,13.14,74.42
0.117875,S19,30.95,13.76,74.57
0.116594,S19,30.95,14.65,74.73
0.116594,S19,30.95,15.96,74.93
0.116594,S19,30.95,17.91,75.15
0.119157,S19,30.95,20.32,75.4
0.119157,S19,30.95,22.9,75.57
0.116594,S19,30.95,25.38,75.7
0.116594,S19,30.95,27.58,75.8
0.117875,S19,30.95,29.57,75.85
0.117875,S19,30.95,31.68,75.89
0.116594,S19,30.95,34.32,76.0
0.116594,S19,30.95,37.81,76.04
0.117875,S19,30.95,42.54,76.12
0.114032,S19,30.97,48.15,76.3
0.108907,S19,30.97,54.1,76.52
0.106344,S19,30.97,59.83,76.34
0.106344,S19,30.97,64.97,76.17
0.107625,S19,30.93,69.58,75.75
0.103782,S19,30.93,74.14,75.58
0.105063,S19,30.93,79.34,75.38
0.105063,S19,30.93,85.71,75.07
0.107625,S19,30.99,93.76,75.13
0.105063,S19,30.99,103.0,75.28
0.106344,S19,30.99,112.62,75.2
0.099938,S19,30.99,121.73,75.1
0.105063,S19,30.99,129.77,74.97
0.110188,S19,30.99,136.75,74.78
0.11275,S19,30.99,143.3,74.58
0.110188,S19,30.99,150.75,74.38
0.108907,S19,31.01,157.77,74.17
0.110188,S19,31.01,166.64,73.95
0.110188,S19,31.01,177.95,73.73
0.111469,S19,31.01,191.79,73.55
0.110188,S19,30.99,206.97,73.4
0.111469,S19,30.99,220.57,73.28
0.110188,S19,30.99,228.25,73.18
0.11275,S19,30.99,225.36,73.08
0.11275,S19,30.99,208.53,73.0
0.111469,S19,30.99,176.87,72.92
0.111469,S19,30.99,132.76,72.85
0.111469,S19,30.99,80.05,72.8
0.11275,S19,30.97,23.07,72.73
0.111469,S19,30.97,-34.94,72.67
0.11275,S19,30.97,-92.44,72.62
0.111469,S19,30.97,-149.16,72.63
0.114032,S19,30.97,-205.23,72.5
0.11275,S19,30.97,-260.37,72.37
0.111469,S19,30.97,-313.74,72.25
0.11275,S19,30.97,-363.87,72.17
0.114032,S19,30.97,-409.83,71.93
0.11275,S19,30.97,-450.91,71.72
0.111469,S19,30.97,-486.5,71.42
0.11275,S19,30.97,-515.74,71.13
0.11275,S19,30.97,-537.23,70.87
0.114032,S19,30.97,-549.22,70.52
0.11275,S19,30.97,-549.96,70.28
0.11275,S19,30.97,-538.37,69.95
0.114032,S19,30.99,-514.21,69.6
0.114032,S19,30.99,-478.68,69.17
0.114032,S19,30.99,-433.88,68.73
0.11275,S19,30.99,-382.45,68.27
0.114032,S19,30.99,-327.01,67.73
0.11275,S19,30.99,-269.83,67.13
0.114032,S19,30.99,-212.61,66.52
0.114032,S19,30.99,-156.62,65.87
0.114032,S19,30.99,-102.89,65.3
0.115313,S19,30.99,-52.28,64.78
0.115313,S19,30.99,-5.78,64.3
0.114032,S19,30.99,35.74,63.87
0.114032,S19,30.99,71.63,63.42
0.114032,S19,30.99,101.6,62.93
0.114032,S19,30.99,125.8,62.48
0.114032,S19,30.99,144.74,61.97
0.11275,S19,30.97,159.11,61.33
0.114032,S19,30.97,169.63,60.65
0.114032,S19,30.97,176.91,60.35
0.115313,S19,30.97,181.36,60.25
0.115313,S19,30.97,183.25,60.17
0.11275,S19,30.97,182.81,60.1
0.11275,S19,30.97,180.32,60.0
0.115313,S19,30.97,176.12,59.85
0.115313,S19,30.97,170.62,59.77
0.114032,S19,30.97,164.23,59.63
0.114032,S19,30.97,157.3,59.47
0.114032,S19,30.97,150.06,59.28
0.114032,S19,30.99,142.66,59.12
0.111469,S19,30.99,135.18,58.93
0.111469,S19,30.99,127.65,58.77
0.110188,S19,30.99,120.12,58.65
0.11275,S19,30.99,112.65,58.58
0.111469,S19,30.99,105.32,58.53
0.111469,S19,30.99,98.19,58.48
0.11275,S19,30.99,91.32,58.38
0.115313,S19,31.01,84.73,58.27
0.115313,S19,31.01,78.45,58.18
0.117875,S19,31.01,72.5,58.12
0.116594,S19,31.01,66.86,58.07
0.114032,S19,31.01,61.57,58.0
0.114032,S19,31.01,56.63,57.93
0.11275,S19,31.01,52.04,57.85
0.090969,S19,31.01,47.82,57.77
0.1025,S19,31.01,43.96,57.68
0.103782,S19,31.01,40.45,57.6
0.103782,S19,31.01,37.29,57.47
0.105063,S19,31.01,34.48,57.22
0.105063,S19,31.03,32.0,56.98
0.106344,S19,31.03,29.86,56.73
0.107625,S19,31.03,28.04,56.6
0.106344,S19,31.03,26.55,56.43
0.106344,S19,31.05,25.38,56.22
0.108907,S19,31.05,24.52,55.98
0.108907,S19,31.05,23.95,55.77
0.107625,S19,31.05,23.66,55.57
0.106344,S19,31.03,23.64,55.37
0.108907,S19,31.03,23.89,55.1
0.107625,S19,31.03,24.38,54.82
0.108907,S19,31.03,25.1,54.7
0.107625,S19,31.05,26.04,54.67
0.108907,S19,31.05,27.16,54.7
0.107625,S19,31.05,28.41,54.77
0.110188,S19,31.05,29.72,54.87
0.108907,S19,31.03,31.0,54.92
0.108907,S19,31.03,32.13,54.98
0.110188,S19,31.03,32.95,55.1
0.110188,S19,31.03,33.31,55.22
0.111469,S19,31.05,33.05,55.27
0.110188,S19,31.05,32.03,55.25
0.108907,S19,31.05,30.15,55.48
0.110188,S19,31.05,27.38,55.72
0.111469,S19,31.03,23.74,55.97
0.110188,S19,31.03,19.28,56.18
0.110188,S19,31.03,14.16,56.47
0.111469,S19,31.03,8.6,56.8
0.111469,S19,31.03,2.83,57.13
0.111469,S19,31.03,-2.89,57.5
0.110188,S19,31.03,-8.28,57.88
0.11275,S19,31.03,-13.11,58.1
0.11275,S19,31.03,-17.21,58.33
0.110188,S19,31.03,-20.44,58.55
0.110188,S19,31.03,-22.74,58.83
0.110188,S19,31.03,-24.09,59.18
0.111469,S19,31.01,-24.56,59.48
0.111469,S19,31.01,-24.25,59.85
0.11275,S19,31.01,-23.29,60.23
0.111469,S19,31.01,-21.8,60.62
0.11275,S19,31.01,-19.93,60.97
0.11275,S19,31.01,-17.79,61.25
0.111469,S19,31.01,-15.5,61.53
0.110188,S19,31.01,-13.1,61.78
0.111469,S19,31.03,-10.66,61.98
0.111469,S19,31.03,-8.22,62.15
0.111469,S19,31.03,-5.8,62.28
0.111469,S19,31.03,-3.43,62.47
0.111469,S19,31.03,-1.1,62.65
0.110188,S19,31.03,1.2,62.82
0.11275,S19,31.03,3.51,62.97
0.11275,S19,31.03,5.86,63.12
0.111469,S19,31.01,8.28,63.28
0.111469,S19,31.01,10.85,63.43
0.11275,S19,31.01,13.52,63.58
0.11275,S19,31.01,16.29,63.77
0.107625,S19,31.01,19.16,63.9
0.106344,S19,31.01,22.14,64.07
0.107625,S19,31.01,25.25,64.23
0.110188,S19,31.01,28.51,64.48
0.110188,S19,31.03,31.95,64.72
0.111469,S19,31.03,35.62,64.97
0.11275,S19,31.03,39.57,65.1
0.110188,S19,31.03,43.69,65.25
0.111469,S19,31.01,47.92,65.47
0.111469,S19,31.01,52.23,65.68
0.11275,S19,31.01,56.59,65.9
0.111469,S19,31.01,61.02,66.12
0.11275,S19,30.99,65.54,66.33
0.111469,S19,30.99,70.2,66.63
0.11275,S19,30.99,75.1,66.97
0.114032,S19,30.99,80.37,67.2
0.114032,S19,31.01,85.86,67.4
0.114032,S19,31.01,91.5,67.62
0.11275,S19,31.01,97.27,67.8
0.11275,S19,31.01,103.15,67.97
0.114032,S19,31.01,109.14,68.22
0.111469,S19,31.01,115.22,68.48
0.111469,S19,31.01,121.4,68.68
0.11275,S19,31.01,127.67,68.9
0.11275,S19,30.97,134.11,69.15
0.114032,S19,30.97,140.36,69.48
0.11275,S19,30.97,146.15,69.55
0.11275,S19,30.97,151.26,69.62
0.114032,S19,31.01,155.41,69.67
0.114032,S19,31.01,158.31,69.73
0.114032,S19,31.01,159.54,69.73
0.115313,S19,31.01,158.55,69.67
0.11275,S19,30.97,154.51,69.62
0.114032,S19,30.97,148.99,69.53
0.11275,S19,30.97,142.52,69.4
0.114032,S19,30.97,135.44,69.3
0.114032,S19,30.99,127.98,69.18
0.11275,S19,30.99,120.32,69.1
0.115313,S19,30.99,112.59,69.03
0.11275,S19,30.99,104.94,68.95
0.114032,S19,30.97,97.5,68.88
0.114032,S19,30.97,90.42,68.83
0.115313,S19,30.97,83.9,68.78
0.115313,S19,30.97,77.76,68.75
0.11275,S19,31.01,71.91,68.73
0.11275,S19,31.01,66.31,68.82
0.114032,S19,31.01,60.94,68.85
0.115313,S19,31.01,55.81,68.85
0.115313,S19,30.97,50.89,68.83
0.116594,S19,30.97,46.21,68.82
0.114032,S19,30.97,41.78,68.83
0.11275,S19,30.97,37.7,68.83
0.115313,S19,30.97,33.79,68.83
0.117875,S19,30.97,29.95,68.82
0.114032,S19,30.97,26.19,68.82
0.11275,S19,30.97,22.55,68.8
0.114032,S19,30.97,19.08,68.77
0.114032,S19,30.97,15.84,68.75
0.115313,S19,30.97,12.87,68.73
0.114032,S19,30.97,10.23,68.68
0.115313,S19,30.95,8.01,68.68
0.115313,S19,30.95,6.09,68.65
0.114032,S19,30.95,4.44,68.65
0.114032,S19,30.95,3.02,68.65
0.115313,S19,30.95,1.82,68.65
0.11275,S19,30.95,0.78,68.65
0.11275,S19,30.95,-0.18,68.65
0.114032,S19,30.95,-1.16,68.65
