EDA_1644831900.000000,EDA_id,TEMP_1644831900.000000,BVP_1644831900.00,HR_1644831910.000000
4.0,S06,4.0,64.0,1.0
0.0,S06,27.73,-0.0,58.0
0.105069,S06,27.73,-0.0,61.0
0.14479,S06,27.73,-0.0,61.67
0.142228,S06,27.73,-0.0,62.75
0.142228,S06,27.73,-0.0,63.4
0.142228,S06,27.73,-0.0,64.17
0.143509,S06,27.73,-0.0,65.29
0.142228,S06,27.73,-0.0,66.38
0.142228,S06,27.75,-0.0,67.0
0.142228,S06,27.75,-0.0,67.5
0.142228,S06,27.75,0.0,68.0
0.14479,S06,27.75,0.01,68.42
0.14479,S06,27.75,0.01,68.85
0.142228,S06,27.75,-0.0,69.21
0.143509,S06,27.75,-0.03,69.33
0.143509,S06,27.75,-0.05,69.38
0.143509,S06,27.77,-0.05,68.88
0.142228,S06,27.77,0.0,68.39
0.14479,S06,27.77,0.13,68.0
0.143509,S06,27.77,0.36,67.85
0.146072,S06,27.73,0.66,67.67
0.143509,S06,27.73,1.01,67.55
0.143509,S06,27.73,1.37,67.52
0.143509,S06,27.73,1.72,67.5
0.14479,S06,27.75,2.06,67.56
0.143509,S06,27.75,2.4,67.54
0.148634,S06,27.75,2.79,67.48
0.14479,S06,27.75,3.24,67.5
0.14479,S06,27.73,3.8,67.48
0.14479,S06,27.73,4.42,67.5
0.143509,S06,27.73,5.06,67.52
0.143509,S06,27.73,5.66,67.56
0.143509,S06,27.75,6.2,67.55
0.143509,S06,27.75,6.68,67.5
0.14479,S06,27.75,7.15,67.46
0.14479,S06,27.75,7.68,67.89
0.143509,S06,27.75,8.31,68.27
0.14479,S06,27.75,9.14,68.66
0.143509,S06,27.75,10.09,69.05
0.142228,S06,27.75,11.04,69.45
0.143509,S06,27.75,11.88,69.83
0.143509,S06,27.75,12.56,70.17
0.143509,S06,27.75,13.14,70.49
0.142228,S06,27.75,13.76,70.75
0.143509,S06,27.75,14.65,70.96
0.142228,S06,27.75,15.96,71.11
0.142228,S06,27.75,17.91,71.21
0.142228,S06,27.75,20.32,71.33
0.143509,S06,27.75,22.9,71.45
0.143509,S06,27.75,25.38,71.56
0.142228,S06,27.75,27.58,71.67
0.142228,S06,27.75,29.57,71.77
0.140946,S06,27.75,31.68,71.87
0.140946,S06,27.75,34.32,71.96
0.140946,S06,27.75,37.81,72.05
0.139665,S06,27.75,42.54,72.12
0.140946,S06,27.75,48.15,72.19
0.142228,S06,27.75,54.1,72.24
0.140946,S06,27.75,59.83,72.29
0.139665,S06,27.75,64.97,72.33
0.139665,S06,27.75,69.58,72.6
0.139665,S06,27.75,74.14,72.73
0.138384,S06,27.75,79.34,72.85
0.139665,S06,27.75,85.71,72.9
0.140946,S06,27.77,93.76,72.93
0.140946,S06,27.77,103.0,72.93
0.140946,S06,27.77,112.62,72.87
0.139665,S06,27.77,121.73,72.77
0.138384,S06,27.77,129.77,72.7
0.138384,S06,27.77,136.75,72.65
0.139665,S06,27.77,143.3,72.58
0.139665,S06,27.77,150.75,72.52
0.137102,S06,27.75,157.77,72.43
0.139665,S06,27.75,166.64,72.37
0.138384,S06,27.75,177.95,72.33
0.138384,S06,27.75,191.79,72.32
0.138384,S06,27.77,206.97,72.45
0.138384,S06,27.77,220.57,72.6
0.139665,S06,27.77,228.25,72.75
0.139665,S06,27.77,225.36,72.87
0.139665,S06,27.79,208.53,73.03
0.138384,S06,27.79,176.87,73.18
0.138384,S06,27.79,132.76,73.3
0.137102,S06,27.79,80.05,73.42
0.137102,S06,27.77,23.07,73.48
0.138384,S06,27.77,-34.94,73.57
0.139665,S06,27.77,-92.44,73.68
0.137102,S06,27.77,-149.16,73.78
0.138384,S06,27.77,-205.23,73.92
0.138384,S06,27.77,-260.37,74.03
0.137102,S06,27.77,-313.74,74.13
0.137102,S06,27.77,-363.87,74.22
0.138384,S06,27.77,-409.83,74.33
0.138384,S06,27.77,-450.91,74.45
0.138384,S06,27.77,-486.5,74.55
0.138384,S06,27.77,-515.74,74.35
0.137102,S06,27.77,-537.23,74.15
0.137102,S06,27.77,-549.22,73.93
0.137102,S06,27.77,-549.96,73.68
0.137102,S06,27.77,-538.37,73.43
0.138384,S06,27.81,-514.21,73.18
0.137102,S06,27.81,-478.68,72.93
0.138384,S06,27.81,-433.88,72.7
0.138384,S06,27.81,-382.45,72.5
0.138384,S06,27.79,-327.02,72.35
0.137102,S06,27.79,-269.83,72.23
0.138384,S06,27.79,-212.61,72.15
0.138384,S06,27.79,-156.62,72.05
0.139665,S06,27.81,-102.9,71.95
0.137102,S06,27.81,-52.29,71.85
0.138384,S06,27.81,-5.79,71.77
0.138384,S06,27.81,35.73,71.68
0.137102,S06,27.79,71.61,71.58
0.139665,S06,27.79,101.59,71.48
0.138384,S06,27.79,125.79,71.37
0.138384,S06,27.79,144.72,71.27
0.138384,S06,27.81,159.09,71.17
0.139665,S06,27.81,169.61,71.1
0.137102,S06,27.81,176.89,71.03
0.137102,S06,27.81,181.34,70.95
0.137102,S06,27.79,183.22,70.88
0.138384,S06,27.79,182.79,70.85
0.138384,S06,27.79,180.29,70.85
0.138384,S06,27.79,176.09,70.87
0.137102,S06,27.81,170.59,70.9
0.137102,S06,27.81,164.2,70.95
0.137102,S06,27.81,157.26,71.0
0.138384,S06,27.81,150.02,71.05
0.137102,S06,27.81,142.62,71.1
0.137102,S06,27.81,135.14,71.13
0.137102,S06,27.81,127.6,71.17
0.13454,S06,27.81,120.07,71.18
0.137102,S06,27.81,112.6,71.18
0.135821,S06,27.81,105.25,71.17
0.135821,S06,27.81,98.11,71.18
0.13454,S06,27.81,91.23,71.2
0.135821,S06,27.79,84.64,71.23
0.138384,S06,27.79,78.35,71.28
0.137102,S06,27.79,72.38,71.32
0.137102,S06,27.79,66.73,71.33
0.135821,S06,27.81,61.42,71.32
0.135821,S06,27.81,56.46,71.27
0.135821,S06,27.81,51.86,71.22
0.137102,S06,27.81,47.63,71.17
0.137102,S06,27.81,43.75,71.15
0.137102,S06,27.81,40.23,71.17
0.13454,S06,27.81,37.05,71.17
0.137102,S06,27.81,34.21,71.15
0.142228,S06,27.81,31.71,71.12
0.16401,S06,27.81,29.55,71.08
0.162729,S06,27.81,27.71,71.07
0.160166,S06,27.81,26.2,71.05
0.160166,S06,27.83,25.01,71.05
0.160166,S06,27.83,24.12,71.0
0.158885,S06,27.83,23.53,70.92
0.157604,S06,27.83,23.21,70.87
0.156322,S06,27.83,23.16,70.87
0.156322,S06,27.83,23.38,70.88
0.155041,S06,27.83,23.83,70.93
0.158885,S06,27.83,24.52,70.93
0.171698,S06,27.87,25.42,70.93
0.170417,S06,27.87,26.51,70.93
0.170417,S06,27.87,27.74,71.0
0.167854,S06,27.87,29.04,71.02
0.165292,S06,27.89,30.33,71.0
0.165292,S06,27.89,31.5,70.98
0.16401,S06,27.89,32.4,70.95
0.16401,S06,27.89,32.87,70.88
0.162729,S06,27.91,32.77,70.82
0.162729,S06,27.91,31.95,70.75
0.160166,S06,27.91,30.31,70.68
0.160166,S06,27.91,27.78,70.63
0.160166,S06,27.93,24.39,70.62
0.160166,S06,27.93,20.19,70.62
0.161448,S06,27.93,15.28,70.65
0.160166,S06,27.93,9.86,70.7
0.160166,S06,27.97,4.15,70.75
0.158885,S06,27.97,-1.58,70.77
0.158885,S06,27.97,-7.07,70.77
0.158885,S06,27.97,-12.1,70.78
0.160166,S06,28.01,-16.44,70.8
0.160166,S06,28.01,-19.96,70.83
0.160166,S06,28.01,-22.56,70.87
0.158885,S06,28.01,-24.22,70.88
0.160166,S06,27.99,-24.96,70.9
0.158885,S06,27.99,-24.88,70.88
0.158885,S06,27.99,-24.12,70.87
0.160166,S06,27.99,-22.78,70.83
0.160166,S06,28.03,-21.04,70.8
0.160166,S06,28.03,-19.03,70.77
0.158885,S06,28.03,-16.87,70.73
0.160166,S06,28.03,-14.62,70.72
0.158885,S06,28.05,-12.35,70.73
0.158885,S06,28.05,-10.06,70.75
0.158885,S06,28.05,-7.75,70.77
0.158885,S06,28.05,-5.45,70.77
0.160166,S06,28.03,-3.14,70.77
0.160166,S06,28.03,-0.78,70.77
0.158885,S06,28.03,1.64,70.8
0.158885,S06,28.03,4.15,70.83
