iter	Passed	Remaining
410	3829	5487
411	3837	5477
412	3846	5466
413	3855	5456
414	3863	5445
415	3872	5436
416	3880	5425
417	3889	5415
418	3897	5404
419	3906	5394
420	3914	5384
421	3924	5374
422	3933	5365
423	3941	5354
424	3950	5344
425	3958	5334
426	3967	5324
427	3976	5313
428	3985	5304
429	3993	5293
430	4002	5283
431	4010	5273
432	4019	5263
433	4028	5253
434	4038	5245
435	4047	5235
436	4055	5225
437	4064	5215
438	4073	5204
439	4079	5192
440	4088	5182
441	4097	5172
442	4105	5161
443	4114	5151
444	4122	5141
445	4131	5132
446	4140	5122
447	4149	5112
448	4158	5102
449	4171	5098
450	4180	5088
451	4188	5078
452	4197	5069
453	4206	5058
454	4215	5048
455	4223	5038
456	4232	5029
457	4241	5019
458	4251	5010
459	4259	5000
460	4268	4990
461	4276	4980
462	4285	4969
463	4293	4959
464	4302	4949
465	4310	4939
466	4318	4929
467	4327	4919
468	4336	4909
469	4345	4900
470	4353	4890
471	4362	4880
472	4371	4870
473	4380	4861
474	4388	4850
475	4398	4842
476	4406	4831
477	4415	4822
478	4424	4812
479	4433	4802
480	4442	4793
481	4451	4783
482	4460	4774
483	4468	4764
484	4477	4754
485	4486	4744
486	4494	4734
487	4503	4724
488	4512	4715
489	4520	4705
490	4529	4695
491	4538	4685
492	4547	4676
493	4556	4666
494	4564	4656
495	4574	4648
496	4582	4638
497	4591	4628
498	4600	4618
499	4609	4609
500	4617	4598
501	4627	4590
502	4637	4582
503	4647	4573
504	4657	4565
505	4667	4556
506	4676	4547
507	4686	4538
508	4695	4529
509	4704	4520
510	4713	4510
511	4723	4501
512	4731	4491
513	4741	4483
514	4753	4476
515	4762	4467
516	4771	4457
517	4780	4448
518	4789	4438
519	4797	4428
520	4806	4418
521	4815	4409
522	4823	4399
523	4832	4389
524	4840	4379
525	4849	4370
526	4858	4360
527	4866	4350
528	4874	4340
529	4881	4328
530	4888	4317
531	4895	4306
532	4902	4295
533	4911	4285
534	4920	4276
535	4928	4266
536	4936	4256
537	4944	4245
538	4953	4236
539	4961	4226
540	4968	4215
541	4974	4203
542	4982	4193
543	4988	4181
544	4994	4169
545	5001	4158
546	5008	4147
547	5015	4136
548	5021	4125
549	5030	4116
550	5038	4106
551	5046	4095
552	5053	4084
553	5059	4073
554	5066	4062
555	5073	4051
556	5080	4040
557	5086	4029
558	5093	4018
559	5100	4007
560	5106	3995
561	5113	3985
562	5119	3973
563	5126	3963
564	5133	3952
565	5139	3940
566	5146	3930
567	5153	3919
568	5160	3909
569	5167	3897
570	5173	3886
571	5180	3876
572	5187	3865
573	5194	3854
574	5200	3843
575	5207	3833
576	5214	3822
577	5220	3811
578	5228	3801
579	5234	3790
580	5241	3780
581	5248	3769
582	5254	3758
583	5262	3748
584	5268	3737
585	5276	3727
586	5282	3716
587	5289	3706
588	5296	3695
589	5302	3684
590	5309	3674
591	5316	3663
592	5323	3653
593	5330	3643
594	5336	3632
595	5343	3622
596	5349	3611
597	5359	3602
598	5368	3593
599	5377	3584
600	5385	3575
601	5394	3566
602	5403	3557
603	5411	3547
604	5419	3538
605	5428	3529
606	5435	3518
607	5443	3509
608	5452	3500
609	5460	3491
610	5469	3482
611	5478	3473
612	5487	3464
613	5495	3454
614	5504	3445
615	5512	3436
616	5521	3427
617	5530	3418
618	5540	3410
619	5549	3401
620	5559	3392
621	5567	3383
622	5576	3374
623	5585	3365
624	5593	3356
625	5600	3346
626	5607	3335
627	5615	3326
628	5623	3317
629	5632	3308
630	5641	3299
631	5650	3290
632	5659	3281
633	5669	3272
634	5678	3264
635	5688	3255
636	5697	3246
637	5707	3238
638	5717	3229
639	5723	3219
640	5730	3209
641	5737	3199
642	5743	3188
643	5750	3178
644	5758	3169
645	5767	3160
646	5776	3151
647	5784	3142
648	5793	3133
649	5802	3124
650	5810	3114
651	5819	3106
652	5827	3096
653	5836	3087
654	5844	3078
655	5853	3069
656	5862	3060
657	5871	3051
658	5880	3042
659	5888	3033
660	5897	3024
661	5906	3015
662	5913	3005
663	5919	2995
664	5926	2985
665	5933	2975
666	5939	2965
667	5947	2955
668	5954	2945
669	5963	2937
670	5971	2927
671	5981	2919
672	5989	2909
673	5998	2901
674	6006	2892
675	6015	2883
676	6024	2874
677	6032	2865
678	6041	2856
679	6048	2846
680	6057	2837
681	6065	2828
682	6074	2819
683	6082	2810
684	6091	2801
685	6100	2792
686	6109	2783
687	6117	2774
688	6126	2765
689	6134	2756
690	6143	2747
691	6151	2737
692	6158	2728
693	6165	2718
694	6172	2708
695	6178	2698
696	6184	2688
697	6192	2679
698	6198	2669
699	6205	2659
700	6212	2649
701	6218	2639
702	6227	2630
703	6233	2620
704	6242	2611
705	6250	2602
706	6259	2594
707	6267	2585
708	6276	2576
709	6285	2567
710	6293	2558
711	6302	2549
712	6309	2539
713	6318	2530
714	6324	2520
715	6332	2511
716	6341	2503
717	6350	2494
718	6359	2485
719	6366	2475
720	6375	2466
721	6384	2458
722	6393	2449
723	6400	2439
724	6408	2430
725	6416	2421
726	6425	2413
727	6437	2405
728	6446	2396
729	6457	2388
730	6466	2379
731	6475	2370
732	6484	2361
733	6492	2352
734	6501	2344
735	6509	2334
736	6518	2326
737	6527	2317
738	6536	2308
739	6545	2299
740	6554	2290
741	6562	2281
742	6570	2272
743	6576	2263
744	6583	2253
745	6590	2243
746	6597	2234
747	6603	2224
748	6610	2215
749	6617	2205
750	6624	2196
751	6631	2187
752	6638	2177
753	6645	2168
754	6651	2158
755	6658	2148
756	6665	2139
757	6672	2130
758	6679	2120
759	6686	2111
760	6693	2102
761	6700	2092
762	6706	2083
763	6714	2074
764	6721	2064
765	6729	2055
766	6736	2046
767	6744	2037
768	6751	2028
769	6759	2018
770	6766	2009
771	6772	2000
772	6782	1991
773	6792	1983
774	6801	1974
775	6811	1966
776	6821	1957
777	6830	1949
778	6839	1940
779	6849	1931
780	6859	1923
781	6868	1914
782	6875	1905
783	6884	1896
784	6894	1888
785	6903	1879
786	6911	1870
787	6918	1861
788	6926	1852
789	6933	1843
790	6941	1834
791	6948	1824
792	6955	1815
793	6962	1806
794	6970	1797
795	6978	1788
796	6984	1779
797	6991	1769
798	6998	1760
799	7005	1751
800	7011	1741
801	7018	1732
802	7025	1723
803	7031	1714
804	7038	1705
805	7045	1695
806	7052	1686
807	7059	1677
808	7066	1668
809	7073	1659
810	7079	1649
811	7086	1640
812	7092	1631
813	7099	1622
814	7106	1613
815	7113	1603
816	7120	1594
817	7126	1585
818	7133	1576
819	7140	1567
820	7146	1558
821	7154	1549
822	7161	1540
823	7168	1531
824	7175	1522
825	7182	1512
826	7189	1503
827	7195	1494
828	7202	1485
829	7209	1476
830	7217	1467
831	7224	1458
832	7231	1449
833	7239	1440
834	7246	1431
835	7253	1422
836	7260	1413
837	7268	1405
838	7274	1395
839	7281	1386
840	7287	1377
841	7294	1368
842	7303	1360
843	7311	1351
844	7318	1342
845	7325	1333
846	7332	1324
847	7339	1315
848	7346	1306
849	7352	1297
850	7359	1288
851	7366	1279
852	7373	1270
853	7380	1261
854	7386	1252
855	7393	1243
856	7399	1234
857	7406	1225
858	7413	1216
859	7420	1207
860	7426	1199
861	7433	1190
862	7440	1181
863	7447	1172
864	7453	1163
865	7460	1154
866	7467	1145
867	7473	1136
868	7480	1127
869	7487	1118
870	7494	1109
871	7500	1101
872	7506	1092
873	7513	1083
874	7520	1074
875	7527	1065
876	7533	1056
877	7540	1047
878	7547	1039
879	7557	1030
880	7564	1021
881	7571	1012
882	7579	1004
883	7585	995
884	7593	986
885	7599	977
886	7605	968
887	7612	960
888	7618	951
889	7625	942
890	7632	933
891	7639	924
892	7645	916
893	7652	907
894	7659	898
895	7666	889
896	7673	881
897	7680	872
898	7687	863
899	7694	854
900	7700	846
901	7708	837
902	7714	828
903	7722	820
904	7728	811
905	7734	802
906	7741	793
907	7748	785
908	7755	776
909	7761	767
910	7768	758
911	7774	750
912	7781	741
913	7788	732
914	7795	724
915	7802	715
916	7809	706
917	7816	698
918	7823	689
919	7830	680
920	7837	672
921	7844	663
922	7852	655
923	7858	646
924	7865	637
925	7872	629
926	7878	620
927	7886	611
928	7892	603
929	7900	594
930	7907	586
931	7913	577
932	7920	568
933	7927	560
934	7934	551
935	7941	542
936	7947	534
937	7954	525
938	7961	517
939	7967	508
940	7974	499
941	7981	491
942	7988	482
943	7994	474
944	8001	465
945	8007	457
946	8014	448
947	8020	439
948	8027	431
949	8034	422
950	8040	414
951	8047	405
952	8054	397
953	8060	388
954	8067	380
955	8073	371
956	8081	363
957	8088	354
958	8095	346
959	8101	337
960	8108	329
961	8115	320
962	8122	312
963	8129	303
964	8136	295
965	8142	286
966	8150	278
967	8156	269
968	8163	261
969	8170	252
970	8178	244
971	8184	235
972	8191	227
973	8198	218
974	8205	210
975	8212	201
976	8218	193
977	8225	185
978	8231	176
979	8238	168
980	8245	159
981	8251	151
982	8258	142
983	8264	134
984	8271	125
985	8277	117
986	8284	109
987	8290	100
988	8297	92
989	8303	83
990	8311	75
991	8317	67
992	8324	58
993	8331	50
994	8338	41
995	8345	33
996	8352	25
997	8359	16
998	8365	8
999	8372	0
