iter	Logloss
0	0.5399480567
1	0.4275106665
2	0.357697475
3	0.3011723747
4	0.2638121014
5	0.2311026984
6	0.2045893597
7	0.1805112958
8	0.1640335257
9	0.1515890556
10	0.1402699055
11	0.1311466774
12	0.1230385515
13	0.1166945475
14	0.1101888782
15	0.1050688173
16	0.101533761
17	0.09841154311
18	0.09494121062
19	0.09202144682
20	0.08872607178
21	0.08572351634
22	0.08360452722
23	0.08135603987
24	0.07963050489
25	0.07784426461
26	0.07605048062
27	0.07399548589
28	0.07236692065
29	0.070537335
30	0.06915767671
31	0.06757962878
32	0.06629005636
33	0.06513910596
34	0.06434236678
35	0.063293254
36	0.06249544564
37	0.06132784428
38	0.06033093139
39	0.0595548034
40	0.05894912548
41	0.05792437728
42	0.05712914338
43	0.05629525845
44	0.05550313602
45	0.0544764463
46	0.05410493921
47	0.0534415536
48	0.05289942782
49	0.05215244829
50	0.05148911949
51	0.05084871136
52	0.05032189388
53	0.04977030806
54	0.04898817395
55	0.04846827621
56	0.04797397277
57	0.04757382283
58	0.04704112837
59	0.0464841578
60	0.04595460043
61	0.04561576862
62	0.04523221552
63	0.04484981391
64	0.04444317828
65	0.04398101853
66	0.04357787377
67	0.04306512165
68	0.04279053956
69	0.04240372289
70	0.0421468643
71	0.0417847288
72	0.04144134497
73	0.04114794421
74	0.04078982826
75	0.04046037128
76	0.04012588562
77	0.03980847521
78	0.03951206625
79	0.03910120335
80	0.03881523904
81	0.03855817627
82	0.03825388946
83	0.03799750019
84	0.03782939198
85	0.03761543072
86	0.03730647718
87	0.0370614072
88	0.036846716
89	0.03655366239
90	0.03631900809
91	0.03607804405
92	0.03586759477
93	0.03565396529
94	0.03543343239
95	0.03529774919
96	0.03511347572
97	0.03491844386
98	0.03465580541
99	0.03433449532
100	0.03414262932
101	0.03400235632
102	0.03379675816
103	0.03366100843
104	0.03342082848
105	0.03327192502
106	0.03309177045
107	0.03296247681
108	0.03278377485
109	0.03255809639
110	0.03244606454
111	0.03226408352
112	0.03209779521
113	0.03194103053
114	0.03180744379
115	0.03166059321
116	0.03151095631
117	0.03139000064
118	0.03121124309
119	0.03108684988
120	0.03090545924
121	0.03080911535
122	0.03068043871
123	0.03054615672
124	0.03044667483
125	0.0302993272
126	0.03019687841
127	0.03011633296
128	0.02989482369
129	0.02976483223
130	0.02960465567
131	0.0294965381
132	0.02935889974
133	0.02923958546
134	0.0291348767
135	0.02900414835
136	0.02879836128
137	0.02868880144
138	0.02857462202
139	0.02843936903
140	0.02833210889
141	0.02813322003
142	0.02802940934
143	0.02794765496
144	0.02784079929
145	0.02772575549
146	0.02758262612
147	0.02745395949
148	0.02735052147
149	0.02723557003
150	0.02712645509
