EDA_1646041789.000000,TEMP_1646041789.000000,BVP_1646041789.00,HR_1646041799.000000
4.0,4.0,64.0,1.0
0.0,32.91,-0.0,61.0
0.671417,32.91,-0.0,68.0
0.844664,32.91,-0.0,81.67
0.61018,32.91,-0.0,81.75
0.598648,32.91,-0.0,82.0
0.598648,32.91,-0.0,86.5
0.614024,32.91,-0.0,90.14
0.625556,32.91,-0.0,92.5
0.63837,32.93,-0.0,94.56
0.658871,32.93,-0.0,96.1
0.652464,32.93,0.0,97.55
0.656308,32.93,0.01,98.58
0.655027,32.91,0.01,99.31
0.653746,32.91,-0.0,99.71
0.652464,32.91,-0.03,100.07
0.652464,32.91,-0.05,100.38
0.651183,32.91,-0.05,101.29
0.644776,32.91,0.0,102.44
0.64862,32.91,0.13,103.37
0.647339,32.91,0.36,104.35
0.649902,32.89,0.66,105.48
0.647339,32.89,1.01,107.32
0.644776,32.89,1.37,109.17
0.647339,32.89,1.72,111.5
0.642214,32.89,2.06,110.84
0.637088,32.89,2.4,110.04
0.637088,32.89,2.79,109.19
0.63837,32.89,3.24,108.29
0.633244,32.89,3.8,107.41
0.635807,32.89,4.42,106.6
0.63837,32.89,5.06,105.81
0.634526,32.89,5.66,105.03
0.637088,32.89,6.2,104.27
0.634526,32.89,6.68,103.59
0.635807,32.89,7.15,102.94
0.637088,32.89,7.68,102.33
0.639651,32.87,8.31,101.81
0.639651,32.87,9.14,101.34
0.634526,32.87,10.09,100.85
0.6294,32.87,11.04,100.38
0.631963,32.89,11.88,99.9
0.624275,32.89,12.56,99.43
0.620431,32.89,13.14,98.93
0.616587,32.89,13.76,98.41
0.61915,32.89,14.65,97.89
0.616587,32.89,15.96,97.41
0.612743,32.89,17.91,97.0
0.616587,32.89,20.32,96.62
0.614024,32.87,22.9,96.27
0.611462,32.87,25.38,95.96
0.614024,32.87,27.58,95.69
0.612743,32.87,29.57,95.4
0.61018,32.87,31.68,95.11
0.607618,32.87,34.32,94.87
0.608899,32.87,37.81,94.64
0.605055,32.87,42.54,94.41
0.602492,32.87,48.15,94.18
0.59993,32.87,54.1,93.95
0.602492,32.87,59.83,93.73
0.612743,32.87,64.97,93.53
0.607618,32.89,69.58,93.87
0.61915,32.89,74.14,93.95
0.620431,32.89,79.34,93.47
0.61915,32.89,85.71,93.47
0.621712,32.91,93.76,93.43
0.624275,32.91,103.0,92.97
0.640932,32.91,112.62,92.45
0.646058,32.91,121.73,91.98
0.635807,32.91,129.77,91.47
0.631963,32.91,136.75,90.97
0.669122,32.91,143.3,90.43
0.70628,32.91,150.75,89.93
0.733188,32.93,157.77,89.47
0.749846,32.93,166.64,89.07
0.776753,32.93,177.95,88.67
0.829288,32.93,191.79,88.28
0.852352,32.91,206.97,87.73
0.877979,32.91,220.57,87.1
0.862603,32.91,228.25,86.52
0.865165,32.91,225.36,85.88
0.867728,32.87,208.53,85.18
0.874135,32.87,176.87,84.2
0.875416,32.87,132.76,83.15
0.87926,32.87,80.05,81.85
0.866447,32.91,23.07,81.72
0.86004,32.91,-34.94,81.67
