EDA_1646655386.000000,TEMP_1646655386.000000,BVP_1646655386.00,HR_1646655396.000000
4.0,4.0,64.0,1.0
0.0,26.67,-0.0,67.0
0.034596,26.67,-0.0,75.0
0.05766,26.67,-0.0,67.33
0.05766,26.67,-0.0,64.25
0.060223,26.67,-0.0,62.4
0.058941,26.67,-0.0,65.83
0.05766,26.67,-0.0,67.86
0.060223,26.67,-0.0,69.12
0.058941,26.67,-0.0,70.11
0.060223,26.67,-0.0,70.8
0.058941,26.67,0.0,70.91
0.061504,26.67,0.01,70.92
0.058941,26.67,0.01,70.85
0.060223,26.67,-0.0,70.93
0.060223,26.67,-0.03,70.93
0.058941,26.67,-0.05,71.62
0.058941,26.67,-0.05,72.29
0.058941,26.67,0.0,72.83
0.061504,26.67,0.13,73.37
0.060223,26.67,0.36,73.6
0.061504,26.63,0.66,73.76
0.060223,26.63,1.01,73.95
0.061504,26.63,1.37,74.0
0.061504,26.63,1.72,74.21
0.061504,26.65,2.06,74.28
0.061504,26.65,2.4,74.31
0.061504,26.65,2.79,74.33
0.060223,26.65,3.24,74.36
0.060223,26.65,3.8,74.34
0.060223,26.65,4.42,74.4
0.060223,26.65,5.06,74.52
0.060223,26.65,5.66,74.78
0.060223,26.63,6.2,75.0
0.060223,26.63,6.68,75.12
0.060223,26.63,7.15,75.2
0.060223,26.63,7.68,75.31
0.061504,26.59,8.31,75.41
0.061504,26.59,9.14,75.66
0.061504,26.59,10.09,75.97
0.061504,26.59,11.04,76.4
0.062785,26.63,11.88,76.32
0.061504,26.63,12.56,76.4
0.062785,26.63,13.14,76.42
0.061504,26.63,13.76,76.43
0.062785,26.63,14.65,76.53
0.061504,26.63,15.96,76.63
0.061504,26.63,17.91,76.74
0.062785,26.63,20.32,76.85
0.061504,26.63,22.9,76.94
0.062785,26.63,25.38,76.98
0.061504,26.63,27.58,77.1
0.062785,26.63,29.57,77.25
0.062785,26.63,31.68,77.43
0.064067,26.63,34.32,77.61
0.064067,26.63,37.81,77.93
0.064067,26.63,42.54,78.21
0.064067,26.59,48.15,78.42
0.064067,26.59,54.1,78.62
0.062785,26.59,59.83,78.81
0.064067,26.59,64.97,79.0
0.062785,26.61,69.58,79.38
0.061504,26.61,74.14,79.52
0.062785,26.61,79.34,80.18
0.062785,26.61,85.71,80.8
0.062785,26.61,93.76,81.47
0.064067,26.61,103.0,81.68
0.064067,26.61,112.62,81.98
0.064067,26.61,121.73,82.35
0.065348,26.61,129.77,82.73
0.065348,26.61,136.75,83.1
0.066629,26.61,143.3,83.53
0.065348,26.61,150.75,84.0
0.064067,26.61,157.77,84.43
0.062785,26.61,166.64,84.87
0.064067,26.61,177.95,85.33
0.062785,26.61,191.79,85.65
0.062785,26.59,206.97,85.98
0.062785,26.59,220.57,86.42
0.062785,26.59,228.25,86.85
0.064067,26.59,225.36,87.33
0.064067,26.63,208.53,87.83
0.064067,26.63,176.87,88.32
0.064067,26.63,132.76,88.87
0.062785,26.63,80.05,89.42
0.065348,26.59,23.07,90.2
0.064067,26.59,-34.94,90.62
0.065348,26.59,-92.44,90.97
0.065348,26.59,-149.16,91.18
0.064067,26.59,-205.23,91.45
0.065348,26.59,-260.37,91.63
0.065348,26.59,-313.74,91.75
0.065348,26.59,-363.87,91.75
0.064067,26.59,-409.83,91.75
0.064067,26.59,-450.91,91.78
0.062785,26.59,-486.5,91.75
0.064067,26.59,-515.74,91.67
0.064067,26.59,-537.23,91.6
0.064067,26.59,-549.23,91.43
0.064067,26.59,-549.97,91.22
0.064067,26.59,-538.36,90.83
0.064067,26.57,-514.19,90.78
0.066629,26.57,-478.64,90.58
0.065348,26.57,-433.84,90.38
0.064067,26.57,-382.44,90.23
0.066629,26.57,-327.07,90.0
0.065348,26.57,-269.98,89.72
0.066629,26.57,-212.88,89.42
0.065348,26.57,-157.0,89.13
0.066629,26.59,-103.35,88.87
0.064067,26.59,-52.8,88.55
0.065348,26.59,-6.32,88.22
0.065348,26.59,35.17,87.83
0.065348,26.59,71.02,87.42
0.065348,26.59,100.9,87.02
0.065348,26.59,124.97,86.47
0.066629,26.59,143.75,86.1
0.064067,26.55,157.97,85.73
0.066629,26.55,168.37,85.33
0.065348,26.55,175.57,84.88
0.066629,26.55,179.97,84.4
0.066629,26.55,181.8,83.98
0.066629,26.55,181.26,83.78
0.066629,26.55,178.58,83.57
0.065348,26.55,174.11,83.33
0.066629,26.57,168.29,83.0
0.066629,26.57,161.61,82.78
0.065348,26.57,154.46,82.55
0.066629,26.57,147.12,82.28
0.066629,26.59,139.68,82.02
0.065348,26.59,132.11,81.75
0.065348,26.59,124.33,81.43
0.066629,26.59,116.3,81.2
0.066629,26.55,108.09,81.18
0.067911,26.55,99.88,80.7
0.066629,26.55,91.92,80.13
0.066629,26.55,84.42,79.5
0.066629,26.55,77.48,78.85
0.065348,26.55,71.01,78.08
0.066629,26.55,64.81,77.25
0.067911,26.55,58.62,76.48
0.066629,26.55,52.27,75.77
0.065348,26.55,45.77,75.1
0.067911,26.55,39.34,74.47
0.066629,26.55,33.33,73.73
0.067911,26.53,28.05,72.63
0.066629,26.53,23.62,71.88
0.066629,26.53,19.9,71.22
0.066629,26.53,16.52,70.75
0.066629,26.57,13.03,70.2
0.065348,26.57,9.13,69.7
0.066629,26.57,4.79,69.23
0.066629,26.57,0.31,68.78
0.066629,26.55,-3.86,68.38
0.069192,26.55,-7.26,68.02
0.067911,26.55,-9.71,67.72
0.067911,26.55,-11.28,67.42
0.066629,26.55,-12.32,67.1
0.069192,26.55,-13.29,66.82
0.069192,26.55,-14.65,66.48
0.067911,26.55,-16.86,66.17
0.067911,26.55,-20.22,65.83
0.066629,26.55,-24.71,65.53
0.065348,26.55,-29.6,65.27
0.066629,26.55,-33.36,64.97
0.067911,26.53,-33.9,64.65
0.067911,26.53,-29.39,64.62
0.067911,26.53,-19.19,64.6
0.067911,26.53,-4.52,64.57
0.067911,26.53,11.86,64.55
0.067911,26.53,26.59,64.65
0.069192,26.53,37.04,64.72
0.067911,26.53,42.25,64.82
0.069192,26.55,42.95,64.9
0.067911,26.55,40.82,64.97
0.069192,26.55,37.5,65.12
0.069192,26.55,34.0,65.13
0.069192,26.51,30.77,65.27
0.069192,26.51,28.06,65.52
0.067911,26.51,26.22,65.83
0.067911,26.51,25.66,66.18
0.066629,26.53,26.39,66.45
0.067911,26.53,27.8,66.4
0.066629,26.53,28.82,66.33
0.067911,26.53,28.41,66.28
0.067911,26.55,26.07,66.3
0.069192,26.55,22.14,66.18
0.070473,26.55,17.55,66.03
0.069192,26.55,13.33,65.87
0.067911,26.53,10.18,65.68
0.069192,26.53,8.26,65.5
0.069192,26.53,7.33,65.33
0.067911,26.53,7.0,65.1
0.065348,26.55,6.93,64.75
0.066629,26.55,6.85,64.83
0.065348,26.55,6.59,64.95
0.064067,26.55,6.0,65.15
