EDA_1644227574.000000,TEMP_1644227574.000000,BVP_1644227574.00,HR_1644227584.000000
4.0,4.0,64.0,1.0
0.0,34.79,-0.0,118.0
0.622764,34.79,-0.0,113.5
0.759875,34.79,-0.0,93.0
0.883157,34.79,-0.0,93.25
0.646097,34.79,-0.0,86.4
0.649941,34.79,-0.0,81.83
0.656348,34.79,-0.0,79.71
0.666599,34.79,-0.0,78.12
0.667881,34.79,-0.0,76.67
0.660192,34.79,-0.0,75.6
0.664036,34.79,0.0,74.82
0.666599,34.79,0.01,74.17
0.669162,34.68,0.01,73.46
0.678132,34.68,-0.0,72.21
0.683258,34.68,-0.03,71.13
0.680695,34.68,-0.05,70.19
0.681976,34.66,-0.05,69.29
0.680695,34.66,0.0,69.44
0.681976,34.66,0.13,69.53
0.697353,34.66,0.36,69.65
0.696072,34.61,0.66,69.62
0.697353,34.61,1.01,69.59
0.696072,34.61,1.37,69.57
0.702479,34.61,1.72,69.54
0.701197,34.47,2.06,69.48
0.708886,34.47,2.4,69.46
0.701197,34.47,2.79,69.44
0.658911,34.47,3.24,69.43
0.63969,34.41,3.8,69.45
0.608936,34.41,4.42,69.47
0.610217,34.41,5.06,69.48
0.608936,34.41,5.66,69.5
0.61278,34.45,6.2,69.55
0.620468,34.45,6.68,69.56
0.617906,34.45,7.15,69.57
0.619187,34.45,7.68,69.61
0.619187,34.75,8.31,69.57
0.624313,34.75,9.14,69.47
0.616624,34.75,10.09,69.41
0.615343,34.75,11.04,69.3
0.617906,34.77,11.88,69.2
0.611499,34.77,12.56,69.07
0.614061,34.77,13.14,69.56
0.614061,34.77,13.76,70.02
0.614061,34.79,14.65,70.47
0.615343,34.79,15.96,70.89
0.608936,34.79,17.91,71.28
0.53077,34.79,20.32,71.58
0.5218,34.81,22.9,71.88
0.517956,34.81,25.38,72.18
0.506423,34.81,27.58,72.41
0.502579,34.81,29.57,72.63
0.497453,34.84,31.68,72.85
0.483358,34.84,34.32,72.94
0.464137,34.84,37.81,73.05
0.459011,34.84,42.54,73.14
0.462855,34.84,48.15,73.23
0.4667,34.84,54.1,73.29
0.465418,34.84,59.83,73.34
0.461574,34.84,64.97,73.37
0.455167,34.83,69.58,72.62
0.452604,34.83,74.14,71.98
0.455167,34.83,79.34,72.3
0.453885,34.83,85.71,71.87
0.45773,34.83,93.76,72.03
0.446197,34.83,103.0,72.23
0.444916,34.83,112.62,72.28
0.441071,34.83,121.73,72.38
0.441071,34.77,129.77,72.48
0.437227,34.77,136.75,72.52
0.435946,34.77,143.3,72.5
0.434664,34.77,150.75,72.37
0.435946,34.75,157.77,72.35
0.433383,34.75,166.64,72.42
0.434664,34.75,177.95,72.52
0.433383,34.75,191.79,72.6
0.433383,34.75,206.97,72.7
0.432102,34.75,220.57,72.48
0.43082,34.75,228.25,72.28
0.432102,34.75,225.36,71.95
0.429539,34.81,208.53,71.7
0.432102,34.81,176.87,71.43
0.43082,34.81,132.76,71.1
0.425694,34.81,80.05,70.93
0.423132,34.77,23.07,70.8
0.425694,34.77,-34.94,70.65
0.426976,34.77,-92.44,70.5
0.425694,34.77,-149.16,70.35
0.428257,34.79,-205.23,70.28
0.434664,34.79,-260.37,70.22
0.441071,34.79,-313.74,70.25
0.447478,34.79,-363.87,70.27
0.441071,34.81,-409.83,70.27
0.465418,34.81,-450.91,70.28
0.482076,34.81,-486.5,70.32
0.500016,34.81,-515.74,70.38
0.507705,34.81,-537.23,70.47
0.506423,34.81,-549.22,70.6
0.485921,34.81,-549.96,70.7
0.452604,34.81,-538.37,70.82
0.450041,34.83,-514.21,70.95
0.424413,34.83,-478.67,71.03
0.415443,34.83,-433.88,70.63
0.415443,34.83,-382.45,70.22
0.41288,34.87,-327.02,69.78
0.410318,34.87,-269.84,69.35
0.411599,34.87,-212.63,68.95
0.410318,34.87,-156.66,68.63
0.410318,34.83,-102.95,68.3
0.410318,34.83,-52.37,68.2
0.407755,34.83,-5.9,68.08
0.406473,34.83,35.58,67.98
0.407755,34.83,71.43,67.83
0.409036,34.83,101.35,67.78
0.406473,34.83,125.5,67.72
0.406473,34.83,144.38,67.67
0.409036,34.84,158.69,67.63
0.410318,34.84,169.15,67.6
0.407755,34.84,176.37,67.58
0.420569,34.84,180.75,67.62
0.423132,34.87,182.57,67.73
0.434664,34.87,182.07,67.87
0.424413,34.87,179.51,68.05
0.433383,34.87,175.23,68.27
0.426976,34.81,169.65,68.43
0.387252,34.81,163.18,68.58
0.423132,34.81,156.15,68.75
0.435946,34.81,148.81,68.82
0.438509,34.84,141.3,68.88
0.435946,34.84,133.69,68.98
0.441071,34.84,126.02,69.05
0.438509,34.84,118.33,69.25
0.43979,34.84,110.69,69.3
0.43979,34.84,103.16,69.38
0.43979,34.84,95.8,69.43
0.444916,34.84,88.68,69.5
0.442353,34.83,81.83,69.55
0.442353,34.83,75.25,69.62
0.447478,34.83,68.95,69.7
0.451323,34.83,62.95,69.9
0.450041,34.83,57.25,70.1
0.451323,34.83,51.86,70.3
0.452604,34.83,46.78,70.58
0.44876,34.83,42.03,70.7
0.44876,34.84,37.59,70.8
0.451323,34.84,33.45,70.9
0.452604,34.84,29.61,71.02
0.451323,34.84,26.07,71.13
0.44876,34.87,22.81,71.18
0.447478,34.87,19.83,71.18
0.44876,34.87,17.11,71.15
0.44876,34.87,14.67,71.12
0.44876,34.89,12.48,71.07
0.455167,34.89,10.54,71.02
0.44876,34.89,8.83,70.97
0.450041,34.89,7.35,70.78
0.447478,34.89,6.07,70.67
0.447478,34.89,4.97,70.57
0.44876,34.89,4.05,70.47
0.44876,34.89,3.27,70.38
0.447478,34.93,2.62,70.33
0.450041,34.93,2.09,70.4
0.451323,34.93,1.65,70.52
0.447478,34.93,1.3,70.67
0.444916,34.93,1.02,70.8
