EDA_1646062904.000000,TEMP_1646062904.000000,BVP_1646062904.00,HR_1646062914.000000
4.0,4.0,64.0,1.0
0.0,32.41,-0.0,68.0
0.176824,32.41,-0.0,78.0
0.26908,32.41,-0.0,73.67
0.267798,32.41,-0.0,71.25
0.26908,32.41,-0.0,69.8
0.266517,32.41,-0.0,68.67
0.26908,32.41,-0.0,69.43
0.267798,32.41,-0.0,70.12
0.26908,32.41,-0.0,70.44
0.267798,32.41,-0.0,71.0
0.272923,32.41,0.0,71.36
0.275486,32.41,0.01,71.67
0.275486,32.37,0.01,72.0
0.274205,32.37,-0.0,72.43
0.27933,32.37,-0.03,72.73
0.275486,32.37,-0.05,73.06
0.27933,32.37,-0.05,73.88
0.27933,32.37,0.0,74.56
0.27933,32.37,0.13,75.11
0.280611,32.37,0.36,75.6
0.280611,32.37,0.66,75.62
0.278049,32.37,1.01,75.59
0.284455,32.37,1.37,75.61
0.281893,32.37,1.72,75.62
0.280611,32.37,2.06,75.52
0.281893,32.37,2.4,75.46
0.287018,32.37,2.79,75.37
0.283174,32.37,3.24,75.36
0.288299,32.43,3.8,75.41
0.281893,32.43,4.42,75.43
0.285737,32.43,5.06,75.42
0.285737,32.43,5.66,75.41
0.284455,32.45,6.2,75.39
0.281893,32.45,6.68,75.38
0.281893,32.45,7.15,75.37
0.280611,32.45,7.68,75.33
0.283174,32.45,8.31,75.32
0.281893,32.45,9.14,75.32
0.281893,32.45,10.09,75.33
0.283174,32.45,11.04,75.38
0.281893,32.43,11.88,75.44
0.278049,32.43,12.56,75.48
0.280611,32.43,13.14,75.56
0.280611,32.43,13.76,75.68
0.27933,32.45,14.65,75.78
0.281893,32.45,15.96,75.89
0.280611,32.45,17.91,76.04
0.280611,32.45,20.32,76.15
0.280611,32.45,22.9,77.04
0.278049,32.45,25.38,77.88
0.27933,32.45,27.58,78.67
0.280611,32.45,29.57,79.4
0.278049,32.45,31.68,80.13
0.27933,32.45,34.32,80.83
0.278049,32.45,37.81,81.55
0.278049,32.45,42.54,82.21
0.278049,32.43,48.15,82.88
0.280611,32.43,54.1,83.29
0.280611,32.43,59.83,83.75
0.285737,32.43,64.97,84.23
0.280611,32.45,69.58,85.03
0.27933,32.45,74.14,85.43
0.281893,32.45,79.34,86.23
0.281893,32.45,85.71,87.12
0.281893,32.43,93.76,87.83
0.278049,32.43,103.0,88.57
0.281893,32.43,112.62,89.12
0.281893,32.43,121.73,89.7
0.280611,32.43,129.77,90.32
0.284455,32.43,136.75,90.93
0.287018,32.43,143.3,91.57
0.27933,32.43,150.75,92.23
0.281893,32.43,157.77,92.9
0.280611,32.43,166.64,93.5
0.281893,32.43,177.95,94.15
0.280611,32.43,191.79,94.77
0.280611,32.43,206.97,95.25
0.281893,32.43,220.57,95.73
0.280611,32.43,228.25,96.25
0.281893,32.43,225.36,96.82
0.283174,32.45,208.53,97.57
0.289581,32.45,176.87,98.35
0.292143,32.45,132.76,99.12
0.27933,32.45,80.05,99.88
0.284455,32.41,23.07,100.78
0.281893,32.41,-34.95,101.62
0.281893,32.41,-92.44,102.65
0.284455,32.41,-149.16,103.65
0.283174,32.39,-205.23,104.75
0.280611,32.39,-260.37,105.82
0.283174,32.39,-313.73,106.9
0.284455,32.39,-363.86,108.02
0.284455,32.41,-409.8,109.15
0.284455,32.41,-450.86,110.3
0.283174,32.41,-486.43,111.47
0.280611,32.41,-515.64,112.68
0.281893,32.41,-537.09,113.83
0.281893,32.41,-549.04,114.93
0.281893,32.41,-549.74,115.98
0.281893,32.41,-538.09,117.02
0.284455,32.41,-513.87,118.05
0.284455,32.41,-478.28,119.27
0.284455,32.41,-433.42,119.98
0.283174,32.41,-381.92,120.68
0.283174,32.45,-326.42,121.35
0.284455,32.45,-269.17,122.0
0.284455,32.45,-211.89,122.62
0.283174,32.45,-155.84,123.28
0.284455,32.39,-102.06,123.25
0.283174,32.39,-51.39,123.15
0.283174,32.39,-4.83,123.07
0.284455,32.39,36.75,122.97
0.284455,32.41,72.7,122.87
0.285737,32.41,102.74,122.75
0.283174,32.41,127.02,122.58
0.283174,32.41,146.04,122.42
0.283174,32.41,160.51,122.25
0.283174,32.41,171.14,122.25
0.284455,32.41,178.56,122.2
0.285737,32.41,183.16,122.1
0.285737,32.39,185.23,121.95
0.284455,32.39,185.0,121.87
0.284455,32.39,182.74,121.77
0.285737,32.39,178.8,121.58
0.283174,32.43,173.58,121.58
0.285737,32.43,167.51,121.57
0.284455,32.43,160.93,121.57
0.283174,32.43,154.08,121.53
0.284455,32.39,147.11,121.55
0.284455,32.39,140.09,121.47
0.284455,32.39,133.06,121.43
0.287018,32.39,126.07,121.33
0.285737,32.43,119.17,120.9
0.285737,32.43,112.44,120.53
0.284455,32.43,105.96,120.17
0.287018,32.43,99.77,119.8
0.287018,32.41,93.91,119.4
0.285737,32.41,88.39,119.0
0.284455,32.41,83.22,118.65
0.285737,32.41,78.41,118.33
0.285737,32.39,73.97,117.98
0.285737,32.39,69.91,117.58
0.287018,32.39,66.23,117.2
0.287018,32.39,62.96,116.82
0.284455,32.39,60.09,116.43
0.285737,32.39,57.62,116.12
0.287018,32.39,55.54,115.58
0.287018,32.39,53.82,115.07
0.288299,32.37,52.42,114.43
0.284455,32.37,51.28,113.82
0.285737,32.37,50.29,113.22
0.287018,32.37,49.33,112.5
0.285737,32.41,48.23,111.78
0.288299,32.41,46.81,111.05
0.288299,32.41,44.9,110.28
0.288299,32.41,42.35,109.45
0.285737,32.39,39.03,108.63
0.287018,32.39,34.89,107.85
0.287018,32.39,29.96,107.12
0.287018,32.39,24.27,106.43
0.288299,32.39,18.0,105.73
0.288299,32.39,11.34,104.88
0.293425,32.39,4.56,104.47
0.288299,32.39,-2.07,103.97
0.288299,32.41,-8.28,103.42
0.289581,32.41,-13.83,102.87
0.289581,32.41,-18.53,102.32
0.289581,32.41,-22.25,101.67
0.289581,32.39,-24.95,101.05
0.287018,32.39,-26.62,100.5
0.288299,32.39,-27.35,99.95
0.288299,32.39,-27.25,99.43
0.289581,32.41,-26.49,98.73
0.287018,32.41,-25.22,98.07
0.289581,32.41,-23.59,97.48
0.287018,32.41,-21.74,96.97
0.289581,32.37,-19.78,96.38
0.290862,32.37,-17.76,95.93
0.290862,32.37,-15.72,95.48
0.290862,32.37,-13.67,95.02
0.290862,32.39,-11.61,94.63
0.289581,32.39,-9.52,94.23
0.289581,32.39,-7.34,93.82
0.289581,32.39,-5.03,93.47
0.292143,32.41,-2.53,93.1
0.289581,32.41,0.19,92.73
0.292143,32.41,3.17,92.37
0.289581,32.41,6.42,91.92
0.289581,32.39,9.89,91.38
0.290862,32.39,13.5,90.93
