EDA_1645449146.000000,TEMP_1645449146.000000,BVP_1645449146.00,HR_1645449156.000000
4.0,4.0,64.0,1.0
0.0,29.45,-0.0,51.0
0.568911,29.45,-0.0,63.5
0.680387,29.45,-0.0,75.0
0.8216,29.45,-0.0,72.25
0.585835,29.45,-0.0,70.6
0.584554,29.45,-0.0,69.5
0.587116,29.45,-0.0,68.71
0.588398,29.45,-0.0,68.12
0.587116,29.43,-0.0,67.67
0.583273,29.43,-0.0,67.4
0.578147,29.43,0.0,67.18
0.574303,29.43,0.01,67.0
0.567897,29.45,0.01,66.85
0.565334,29.45,-0.0,66.93
0.558927,29.45,-0.03,67.2
0.560209,29.45,-0.05,68.69
0.553802,29.45,-0.05,70.47
0.548677,29.45,0.0,72.44
0.549958,29.45,0.13,74.16
0.546114,29.45,0.36,75.7
0.54227,29.45,0.66,77.29
0.540989,29.45,1.01,78.73
0.546114,29.45,1.37,80.09
0.552521,29.45,1.72,81.38
0.564053,29.47,2.06,82.64
0.569178,29.47,2.4,82.69
0.58071,29.47,2.79,82.7
0.58071,29.47,3.24,82.71
0.581991,29.47,3.8,82.72
0.587116,29.47,4.42,82.67
0.596086,29.47,5.06,82.58
0.592242,29.47,5.66,82.5
0.565334,29.49,6.2,82.3
0.519206,29.49,6.68,82.15
0.501267,29.49,7.15,82.06
0.498705,29.49,7.68,81.94
0.489735,29.49,8.31,81.76
0.485891,29.49,9.14,81.63
0.520487,29.49,10.09,81.49
0.521769,29.49,11.04,81.32
0.515362,29.51,11.88,81.2
0.507674,29.51,12.56,81.12
0.506393,29.51,13.14,81.0
0.510237,29.51,13.76,80.93
0.507674,29.51,14.65,80.89
0.502549,29.51,15.96,80.89
0.50383,29.51,17.91,80.77
0.508955,29.51,20.32,80.71
0.514081,29.51,22.9,80.71
0.510237,29.51,25.38,80.64
0.507674,29.51,27.58,80.61
0.505111,29.51,29.57,80.52
0.505111,29.53,31.68,80.45
0.506393,29.53,34.32,80.56
0.502549,29.53,37.81,80.67
0.502549,29.53,42.54,80.79
0.508955,29.51,48.15,80.95
0.511518,29.51,54.1,81.1
0.514081,29.51,59.83,81.24
0.520487,29.51,64.97,81.23
0.512799,29.53,69.58,81.8
0.514081,29.53,74.14,81.9
0.514081,29.53,79.34,81.63
0.514081,29.53,85.71,81.98
0.511518,29.53,93.76,82.32
0.506393,29.53,103.0,82.63
0.507674,29.53,112.62,82.93
0.50383,29.53,121.73,83.25
0.507674,29.57,129.77,83.58
0.510237,29.57,136.75,83.87
0.514081,29.57,143.3,84.23
0.506393,29.57,150.75,84.58
0.507674,29.53,157.77,85.0
0.506393,29.53,166.64,85.33
0.507674,29.53,177.95,85.62
0.507674,29.53,191.79,85.62
0.510237,29.55,206.97,85.47
0.508955,29.55,220.57,85.23
0.510237,29.55,228.25,85.0
0.510237,29.55,225.36,84.75
0.514081,29.57,208.53,84.43
0.512799,29.57,176.87,84.07
0.507674,29.57,132.76,83.68
0.508955,29.57,80.05,83.23
0.508955,29.59,23.07,82.75
0.508955,29.59,-34.94,82.62
0.512799,29.59,-92.44,82.48
0.515362,29.59,-149.16,82.35
0.516643,29.57,-205.23,82.22
0.515362,29.57,-260.37,82.17
0.519206,29.57,-313.74,82.1
0.521769,29.57,-363.87,82.02
0.519206,29.59,-409.83,82.0
0.515362,29.59,-450.91,81.97
0.517925,29.59,-486.5,81.87
0.515362,29.59,-515.74,82.07
0.514081,29.61,-537.23,82.32
0.510237,29.61,-549.22,82.52
0.512799,29.61,-549.96,82.72
0.515362,29.61,-538.37,82.95
0.52305,29.61,-514.21,83.18
0.530738,29.61,-478.67,83.33
0.538426,29.61,-433.88,83.57
0.540989,29.61,-382.45,83.72
0.54227,29.61,-327.02,83.85
0.543551,29.61,-269.84,83.95
0.543551,29.61,-212.63,84.17
0.54227,29.61,-156.66,84.3
0.54227,29.61,-102.95,84.42
