EDA_1646838724.000000,EDA_id,TEMP_1646838724.000000,BVP_1646838724.00,HR_1646838734.000000
4.0,S35,4.0,64.0,1.0
0.0,S35,33.73,-0.0,109.0
0.602226,S35,33.73,-0.0,109.0
0.676543,S35,33.73,-0.0,90.0
0.808787,S35,33.73,-0.0,85.5
0.539707,S35,33.73,-0.0,82.6
0.546114,S35,33.73,-0.0,80.67
0.549958,S35,33.73,-0.0,79.29
0.549958,S35,33.73,-0.0,78.62
0.546114,S35,33.75,-0.0,77.44
0.537145,S35,33.75,-0.0,76.6
0.543551,S35,33.75,0.0,75.73
0.534582,S35,33.75,0.01,75.17
0.546114,S35,33.77,0.01,74.62
0.546114,S35,33.77,-0.0,74.21
0.546114,S35,33.77,-0.03,73.8
0.552521,S35,33.77,-0.05,73.31
0.551239,S35,33.75,-0.05,72.88
0.549958,S35,33.75,0.0,72.5
0.54227,S35,33.75,0.13,72.68
0.544833,S35,33.75,0.36,72.85
0.546114,S35,33.75,0.66,73.0
0.532019,S35,33.75,1.01,73.14
0.528175,S35,33.75,1.37,73.13
0.530738,S35,33.75,1.72,73.04
0.526894,S35,33.75,2.06,72.88
0.526894,S35,33.75,2.4,72.73
0.528175,S35,33.75,2.79,72.59
0.534582,S35,33.75,3.24,72.5
0.533301,S35,33.77,3.8,72.38
0.532019,S35,33.77,4.42,72.33
0.535863,S35,33.77,5.06,72.26
0.538426,S35,33.77,5.66,72.25
0.532019,S35,33.77,6.2,72.27
0.50383,S35,33.77,6.68,72.32
0.515362,S35,33.77,7.15,72.29
0.517925,S35,33.77,7.68,72.22
0.517925,S35,33.73,8.31,72.19
0.529457,S35,33.73,9.14,72.18
0.530738,S35,33.73,10.09,72.15
0.537145,S35,33.73,11.04,72.1
0.543551,S35,33.73,11.88,71.93
0.548677,S35,33.73,12.56,71.81
0.555083,S35,33.73,13.14,71.93
0.538426,S35,33.73,13.76,72.02
0.54227,S35,33.73,14.65,72.09
0.538426,S35,33.73,15.96,72.26
0.528175,S35,33.73,17.91,72.7
