EDA_1645457685.000000,TEMP_1645457685.000000,BVP_1645457685.00,HR_1645457695.000000
4.0,4.0,64.0,1.0
0.0,26.85,-0.0,58.0
0.662648,26.85,-0.0,58.0
1.01026,26.85,-0.0,58.67
0.604025,26.85,-0.0,59.25
0.596335,26.85,-0.0,64.0
0.598898,26.85,-0.0,62.17
0.60018,26.85,-0.0,61.86
0.604025,26.85,-0.0,61.25
0.605307,26.85,-0.0,61.56
0.605307,26.85,-0.0,62.0
0.606588,26.85,0.0,62.64
0.606588,26.85,0.01,63.25
0.60787,26.85,0.01,63.92
0.609152,26.85,-0.0,64.57
0.614279,26.85,-0.03,65.07
0.612997,26.85,-0.05,65.5
0.614279,26.83,-0.05,65.94
0.61556,26.83,0.0,66.33
0.614279,26.83,0.13,66.53
0.612997,26.83,0.36,66.65
0.614279,26.83,0.66,66.67
0.61556,26.83,1.01,66.77
0.614279,26.83,1.37,66.87
0.612997,26.83,1.72,67.0
0.61556,26.83,2.06,67.12
0.612997,26.83,2.4,67.0
0.614279,26.83,2.79,66.89
0.610433,26.83,3.24,66.79
0.612997,26.81,3.8,66.66
0.616842,26.81,4.42,66.57
0.612997,26.81,5.06,66.55
0.611715,26.81,5.66,66.53
0.611715,26.81,6.2,66.45
0.614279,26.81,6.68,66.38
0.611715,26.81,7.15,66.4
0.612997,26.81,7.68,66.42
0.566855,26.83,8.31,66.46
0.619405,26.83,9.14,66.47
0.612997,26.83,10.09,66.44
0.606588,26.83,11.04,66.4
0.610433,26.85,11.88,66.22
0.61556,26.85,12.56,66.07
0.61556,26.85,13.14,65.95
0.61556,26.85,13.76,65.84
0.619405,26.83,14.65,65.73
0.616842,26.83,15.96,65.63
0.618124,26.83,17.91,65.57
0.616842,26.83,20.32,65.52
0.623251,26.83,22.9,65.51
0.614279,26.83,25.38,65.44
0.611715,26.83,27.58,65.35
0.610433,26.83,29.57,65.27
0.611715,26.83,31.68,65.19
0.606588,26.83,34.32,65.09
0.611715,26.83,37.81,64.93
0.610433,26.83,42.54,64.75
0.609152,26.83,48.15,64.6
0.606588,26.83,54.1,64.45
0.605307,26.83,59.83,64.32
0.612997,26.83,64.97,64.2
0.602743,26.81,69.58,64.25
0.60018,26.81,74.14,64.28
0.601461,26.81,79.34,64.28
0.60018,26.81,85.71,64.3
0.602743,26.81,93.76,63.98
0.60018,26.81,103.0,64.18
0.60018,26.81,112.62,64.28
0.598898,26.81,121.73,64.57
0.598898,26.83,129.77,64.68
0.593771,26.83,136.75,64.78
0.596335,26.83,143.3,64.8
0.592489,26.83,150.75,64.82
0.592489,26.83,157.77,64.78
0.591208,26.83,166.64,64.75
0.591208,26.83,177.95,64.75
0.591208,26.83,191.79,64.75
0.589926,26.83,206.97,64.75
0.587362,26.83,220.57,64.8
0.587362,26.83,228.25,64.95
0.589926,26.83,225.36,65.12
0.592489,26.81,208.53,65.33
0.587362,26.81,176.87,65.53
0.591208,26.81,132.76,65.73
0.589926,26.81,80.05,65.92
0.586081,26.83,23.07,66.08
0.587362,26.83,-34.94,66.37
0.586081,26.83,-92.44,66.62
0.584799,26.83,-149.16,66.87
0.583517,26.83,-205.23,67.12
0.582236,26.83,-260.37,67.35
0.579672,26.83,-313.74,67.57
0.57839,26.83,-363.87,67.78
0.575827,26.83,-409.83,68.02
0.574545,26.83,-450.91,68.25
0.573264,26.83,-486.5,68.38
0.575827,26.83,-515.74,68.52
0.571982,26.83,-537.23,68.5
0.571982,26.83,-549.22,68.52
0.571982,26.83,-549.96,68.57
0.569418,26.83,-538.37,68.63
0.568137,26.81,-514.21,68.78
0.569418,26.81,-478.67,68.9
0.569418,26.81,-433.88,69.03
0.566855,26.81,-382.45,69.22
0.566855,26.83,-327.02,69.4
0.565573,26.83,-269.84,69.62
0.56301,26.83,-212.63,69.82
0.564292,26.83,-156.66,70.05
0.564292,26.83,-102.95,70.35
0.56301,26.83,-52.37,70.65
0.56301,26.83,-5.9,70.95
0.56301,26.83,35.58,71.23
0.56301,26.81,71.43,71.52
0.561728,26.81,101.35,71.8
0.561728,26.81,125.5,72.13
0.564292,26.81,144.38,72.47
0.56301,26.81,158.69,72.78
0.56301,26.81,169.15,73.1
0.561728,26.81,176.37,73.38
0.564292,26.81,180.75,73.67
0.56301,26.79,182.57,73.9
0.560446,26.79,182.07,74.15
0.560446,26.79,179.51,74.4
0.560446,26.79,175.23,74.62
0.560446,26.83,169.65,74.82
0.559165,26.83,163.18,75.0
0.559165,26.83,156.15,75.18
0.556601,26.83,148.81,75.23
0.556601,26.83,141.3,75.33
0.556601,26.83,133.69,75.43
0.557883,26.83,126.02,75.57
0.559165,26.83,118.33,75.68
0.559165,26.83,110.69,75.82
0.559165,26.83,103.16,75.93
0.560446,26.83,95.8,76.03
0.564292,26.83,88.68,76.15
0.560446,26.83,81.83,76.27
0.560446,26.83,75.25,76.33
0.559165,26.83,68.95,76.35
0.559165,26.83,62.95,76.37
0.55532,26.81,57.25,76.35
0.559165,26.81,51.86,76.32
0.557883,26.81,46.78,76.27
0.55532,26.81,42.03,76.2
0.559165,26.81,37.59,76.2
0.560446,26.81,33.45,76.18
0.559165,26.81,29.61,76.18
0.556601,26.81,26.07,76.2
0.556601,26.83,22.81,76.23
0.55532,26.83,19.83,76.25
0.554038,26.83,17.11,76.25
0.557883,26.83,14.67,76.28
0.557883,26.83,12.48,76.28
0.557883,26.83,10.54,76.28
0.559165,26.83,8.83,76.37
0.560446,26.83,7.35,76.45
0.559165,26.83,6.07,76.65
0.560446,26.83,4.97,76.83
0.560446,26.83,4.05,77.03
0.561728,26.83,3.27,77.23
0.560446,26.83,2.62,77.43
0.561728,26.83,2.09,77.65
0.566855,26.83,1.65,77.82
0.565573,26.83,1.3,77.93
0.566855,26.83,1.01,78.05
0.565573,26.83,0.79,78.15
0.565573,26.83,0.61,78.2
0.568137,26.83,0.47,78.2
0.569418,26.81,0.37,78.1
