EDA_1644840744.000000,TEMP_1644840744.000000,BVP_1644840744.00,HR_1644840754.000000
4.0,4.0,64.0,1.0
0.0,27.81,-0.0,84.0
0.064067,27.81,-0.0,84.0
0.102506,27.81,-0.0,84.33
0.103788,27.81,-0.0,84.75
0.103788,27.81,-0.0,86.4
0.103788,27.81,-0.0,82.0
0.102506,27.81,-0.0,78.57
0.103788,27.81,-0.0,76.25
0.103788,27.81,-0.0,74.78
0.105069,27.81,-0.0,73.3
0.105069,27.81,0.0,72.36
0.105069,27.81,0.01,71.75
0.103788,27.83,0.01,71.31
0.103788,27.83,-0.0,70.86
0.103788,27.83,-0.03,70.6
0.103788,27.83,-0.05,70.19
0.103788,27.83,-0.05,69.71
0.102506,27.83,0.0,69.0
0.105069,27.83,0.13,68.47
0.105069,27.83,0.36,68.0
0.105069,27.81,0.66,67.48
0.105069,27.81,1.01,67.09
0.105069,27.81,1.37,66.78
0.105069,27.81,1.72,66.54
0.105069,27.79,2.06,66.28
0.103788,27.79,2.4,66.08
0.105069,27.79,2.79,65.85
0.105069,27.79,3.24,65.68
0.103788,27.81,3.8,65.45
0.105069,27.81,4.42,65.7
0.103788,27.81,5.06,65.81
0.10635,27.81,5.66,66.0
0.105069,27.83,6.2,65.73
0.105069,27.83,6.68,66.32
0.105069,27.83,7.15,66.91
0.105069,27.83,7.68,67.64
0.10635,27.83,8.31,68.32
0.10635,27.83,9.14,69.0
0.10635,27.83,10.09,69.54
0.102506,27.83,11.04,69.88
0.105069,27.83,11.88,70.73
0.103788,27.83,12.56,71.52
0.10635,27.83,13.14,72.3
0.10635,27.83,13.76,73.05
0.103788,27.83,14.65,73.76
0.103788,27.83,15.96,74.43
0.105069,27.83,17.91,75.09
0.105069,27.83,20.32,75.71
0.105069,27.83,22.9,76.29
0.105069,27.83,25.38,76.84
0.103788,27.83,27.58,77.37
0.105069,27.83,29.57,77.88
0.105069,27.81,31.68,78.36
0.105069,27.81,34.32,78.81
0.105069,27.81,37.81,79.25
0.10635,27.81,42.54,79.68
0.103788,27.81,48.15,80.07
0.103788,27.81,54.1,80.45
0.10635,27.81,59.83,80.81
0.105069,27.81,64.97,81.17
0.105069,27.85,69.58,81.47
0.103788,27.85,74.14,81.77
0.10635,27.85,79.34,82.05
0.105069,27.85,85.71,82.3
0.10635,27.85,93.76,82.43
0.103788,27.85,103.0,83.12
0.105069,27.85,112.62,83.83
0.105069,27.85,121.73,84.53
0.105069,27.83,129.77,85.18
0.10635,27.83,136.75,85.9
0.10635,27.83,143.3,86.57
0.10635,27.83,150.75,87.2
0.103788,27.83,157.77,87.82
0.105069,27.83,166.64,88.43
0.105069,27.83,177.95,89.0
0.10635,27.83,191.79,89.6
0.10635,27.81,206.97,90.23
0.10635,27.81,220.57,90.95
0.105069,27.81,228.25,91.63
0.105069,27.81,225.36,92.32
0.10635,27.85,208.53,93.05
0.10635,27.85,176.87,93.77
0.110194,27.85,132.76,94.47
0.105069,27.85,80.05,95.15
0.10635,27.85,23.07,95.87
0.105069,27.85,-34.94,96.6
0.105069,27.85,-92.44,97.35
0.105069,27.85,-149.16,98.1
0.107632,27.87,-205.23,98.9
0.10635,27.87,-260.37,99.47
0.105069,27.87,-313.74,100.1
0.107632,27.87,-363.87,100.68
0.10635,27.87,-409.83,101.57
0.10635,27.87,-450.91,101.95
0.105069,27.87,-486.5,102.3
0.10635,27.87,-515.74,102.53
0.10635,27.85,-537.23,102.75
0.10635,27.85,-549.22,102.95
0.107632,27.85,-549.96,103.22
0.107632,27.85,-538.37,103.6
0.10635,27.87,-514.21,103.62
0.10635,27.87,-478.67,103.53
0.107632,27.87,-433.88,103.43
0.10635,27.87,-382.45,103.33
0.10635,27.87,-327.02,103.25
0.10635,27.87,-269.84,103.17
0.10635,27.87,-212.63,103.08
0.10635,27.87,-156.66,103.0
0.105069,27.89,-102.95,102.92
0.10635,27.89,-52.37,102.83
0.107632,27.89,-5.9,102.73
0.105069,27.89,35.58,102.63
0.107632,27.89,71.43,102.55
0.105069,27.89,101.35,102.45
0.10635,27.89,125.5,102.37
0.10635,27.89,144.38,102.28
0.105069,27.89,158.69,102.25
0.10635,27.89,169.15,102.22
0.10635,27.89,176.37,102.2
0.107632,27.89,180.75,102.18
0.105069,27.87,182.57,102.17
0.107632,27.87,182.07,102.17
0.10635,27.87,179.51,102.15
0.10635,27.87,175.23,102.15
0.107632,27.91,169.65,102.15
0.107632,27.91,163.18,102.15
0.10635,27.91,156.15,102.17
0.105069,27.91,148.81,102.17
0.107632,27.89,141.3,102.17
0.10635,27.89,133.69,102.15
0.107632,27.89,126.02,102.15
0.108913,27.89,118.33,102.15
0.107632,27.89,110.69,102.15
0.107632,27.89,103.16,102.15
0.10635,27.89,95.8,102.17
0.107632,27.89,88.68,102.17
0.10635,27.87,81.83,102.15
0.107632,27.87,75.25,102.15
0.107632,27.87,68.95,102.15
0.107632,27.87,62.95,102.15
0.107632,27.93,57.25,102.13
0.107632,27.93,51.86,102.12
0.10635,27.93,46.78,102.1
0.10635,27.93,42.03,102.08
0.10635,27.91,37.59,102.07
0.107632,27.91,33.45,102.05
0.10635,27.91,29.61,102.03
0.108913,27.91,26.07,102.02
0.108913,27.91,22.81,102.0
0.10635,27.91,19.83,101.98
0.107632,27.91,17.11,101.97
0.10635,27.91,14.67,101.95
0.107632,27.91,12.48,101.87
0.107632,27.91,10.54,101.78
0.10635,27.91,8.83,101.72
0.107632,27.91,7.35,101.65
0.10635,27.93,6.07,101.6
0.107632,27.93,4.97,101.57
0.10635,27.93,4.05,101.47
0.108913,27.93,3.27,101.37
0.10635,27.93,2.62,101.25
0.108913,27.93,2.09,101.27
0.108913,27.93,1.65,101.27
0.10635,27.93,1.3,101.27
0.107632,27.93,1.01,101.27
0.10635,27.93,0.79,101.25
0.108913,27.93,0.61,101.23
0.108913,27.93,0.47,101.2
0.108913,27.93,0.37,101.18
0.107632,27.93,0.29,101.17
0.107632,27.93,0.23,101.18
0.10635,27.93,0.19,101.22
0.107632,27.91,0.16,101.27
0.10635,27.91,0.15,101.37
0.107632,27.91,0.15,101.47
0.108913,27.91,0.15,101.57
0.108913,27.95,0.17,101.63
0.10635,27.95,0.19,101.67
0.107632,27.95,0.22,101.67
0.107632,27.95,0.25,101.65
0.107632,27.95,0.29,101.63
0.108913,27.95,0.33,101.58
0.107632,27.95,0.38,101.55
0.108913,27.95,0.42,101.52
0.107632,27.93,0.47,101.48
0.107632,27.93,0.52,101.45
0.107632,27.93,0.57,101.38
0.108913,27.93,0.62,101.32
0.108913,27.95,0.67,101.25
0.108913,27.95,0.73,101.17
0.108913,27.95,0.79,101.07
0.107632,27.95,0.85,100.97
0.10635,27.93,0.93,100.88
0.10635,27.93,1.0,100.82
0.107632,27.93,1.09,100.75
0.107632,27.93,1.19,100.72
0.108913,27.95,1.3,100.7
0.108913,27.95,1.42,100.68
0.108913,27.95,1.55,100.67
0.107632,27.95,1.72,100.65
0.107632,27.95,1.9,100.63
0.108913,27.95,2.12,100.6
0.107632,27.95,2.34,100.58
0.108913,27.95,2.57,100.57
0.10635,27.97,2.78,100.53
0.108913,27.97,2.99,100.45
0.107632,27.97,3.19,100.38
0.107632,27.97,3.43,100.3
0.108913,27.97,3.72,100.22
0.107632,27.97,4.09,100.13
0.108913,27.97,4.54,100.05
0.108913,27.97,5.04,99.97
0.107632,27.97,5.58,99.9
0.108913,27.97,6.11,99.83
0.107632,27.97,6.63,99.77
0.107632,27.97,7.16,99.7
0.107632,27.97,7.72,99.63
0.108913,27.97,8.36,99.55
0.107632,27.97,9.11,99.53
0.107632,27.97,9.95,99.52
0.107632,27.97,10.86,99.53
0.107632,27.97,11.75,99.55
0.108913,27.97,12.6,99.58
0.110194,27.97,13.4,99.62
0.108913,27.99,14.18,99.63
0.110194,27.99,15.02,99.67
0.10635,27.99,16.0,99.7
0.107632,27.99,17.18,99.75
0.107632,28.01,18.52,99.78
0.110194,28.01,19.84,99.82
0.108913,28.01,20.93,99.83
0.108913,28.01,21.57,99.83
0.107632,27.99,21.59,99.82
0.107632,27.99,20.98,99.77
0.108913,27.99,19.81,99.72
0.108913,27.99,18.22,99.67
0.110194,28.01,16.26,99.62
0.108913,28.01,13.89,99.62
0.108913,28.01,10.88,99.63
0.107632,28.01,6.94,99.67
0.108913,27.97,1.92,99.72
0.107632,27.97,-4.08,99.78
0.110194,27.97,-10.67,99.85
0.110194,27.97,-17.18,99.92
0.107632,28.01,-22.94,99.98
0.110194,28.01,-27.46,100.05
0.110194,28.01,-30.65,100.13
0.108913,28.01,-32.8,100.22
0.108913,28.01,-34.49,100.3
0.108913,28.01,-36.25,100.4
0.108913,28.01,-38.32,100.5
0.108913,28.01,-40.53,100.6
0.110194,28.01,-42.4,100.68
0.107632,28.01,-43.39,100.77
0.108913,28.01,-43.22,100.85
0.107632,28.01,-42.02,100.93
0.110194,28.01,-40.34,101.02
0.110194,28.01,-38.86,101.1
0.110194,28.01,-38.22,101.18
0.107632,28.01,-38.9,101.28
0.108913,28.01,-41.15,101.38
0.108913,28.01,-44.91,101.48
0.108913,28.01,-49.57,101.57
0.108913,28.01,-53.71,101.65
0.107632,28.03,-55.24,101.72
0.108913,28.03,-52.03,101.8
0.107632,28.03,-42.77,101.85
0.108913,28.03,-27.98,101.9
0.108913,28.01,-10.02,101.93
0.108913,28.01,7.57,101.97
0.108913,28.01,21.47,102.0
0.110194,28.01,29.84,102.05
0.108913,28.05,32.79,102.1
0.110194,28.05,32.01,102.18
0.108913,28.05,29.58,102.27
0.108913,28.05,27.04,102.37
0.110194,28.03,24.96,102.47
0.110194,28.03,23.14,102.58
0.110194,28.03,21.32,102.72
0.110194,28.03,19.56,102.87
0.107632,28.07,18.32,103.03
0.107632,28.07,18.01,103.17
0.108913,28.07,18.61,103.28
0.108913,28.07,19.61,103.38
0.110194,28.05,20.17,103.47
0.110194,28.05,19.57,103.52
0.110194,28.05,17.47,103.55
0.110194,28.05,14.23,103.57
0.108913,28.03,10.68,103.57
0.110194,28.03,7.69,103.55
0.112757,28.03,5.83,103.53
0.108913,28.03,5.13,103.5
0.108913,28.07,5.05,103.47
0.107632,28.07,4.77,103.43
0.110194,28.07,3.57,103.38
0.107632,28.07,1.07,103.33
0.108913,28.07,-2.53,103.27
0.108913,28.07,-6.61,103.18
0.108913,28.07,-10.24,103.1
0.110194,28.07,-12.57,103.0
0.110194,28.07,-13.03,102.88
0.110194,28.07,-11.45,102.77
0.108913,28.07,-8.03,102.63
0.108913,28.07,-2.98,102.5
0.110194,28.07,3.04,102.38
0.110194,28.07,9.21,102.27
0.110194,28.07,14.8,102.15
0.110194,28.07,19.33,102.05
0.110194,28.09,22.65,101.95
0.108913,28.09,24.88,101.85
0.108913,28.09,26.26,101.75
0.110194,28.09,26.93,101.65
0.114038,28.11,26.92,101.55
0.110194,28.11,26.15,101.47
0.107632,28.11,24.65,101.37
0.110194,28.11,22.62,101.28
0.108913,28.09,20.38,101.2
0.108913,28.09,18.22,101.1
0.108913,28.09,16.27,101.0
0.110194,28.09,14.38,100.88
0.110194,28.11,12.33,100.75
0.110194,28.11,9.89,100.62
0.111476,28.11,6.98,100.48
0.110194,28.11,3.72,100.35
0.108913,28.11,0.4,100.23
0.108913,28.11,-2.74,100.12
0.108913,28.11,-5.53,100.02
0.110194,28.11,-7.97,99.92
0.110194,28.11,-10.05,99.82
0.110194,28.11,-11.75,99.73
0.108913,28.11,-12.96,99.65
0.111476,28.11,-13.62,99.57
0.110194,28.11,-13.71,99.48
0.111476,28.11,-13.38,99.38
0.110194,28.11,-12.92,99.3
0.108913,28.11,-12.73,99.22
0.108913,28.11,-13.18,99.13
0.108913,28.11,-14.48,99.03
0.108913,28.11,-16.61,98.92
0.110194,28.11,-19.23,98.78
0.110194,28.11,-21.74,98.62
0.111476,28.11,-23.36,98.47
0.108913,28.11,-23.32,98.33
0.110194,28.11,-21.16,98.22
0.110194,28.13,-16.82,98.12
0.110194,28.13,-10.78,98.05
0.111476,28.13,-3.84,97.98
0.110194,28.13,3.14,97.93
0.110194,28.15,9.38,97.92
0.108913,28.15,14.43,97.92
0.110194,28.15,18.12,97.92
0.110194,28.15,20.44,97.93
0.111476,28.13,21.45,97.95
0.111476,28.13,21.23,97.97
0.108913,28.13,19.91,97.98
0.111476,28.13,17.78,98.0
0.110194,28.15,15.25,98.02
0.108913,28.15,12.86,98.03
0.108913,28.15,11.08,98.05
0.110194,28.15,10.17,98.08
0.110194,28.15,10.15,98.12
0.108913,28.15,10.76,98.15
0.111476,28.15,11.67,98.2
0.108913,28.15,12.57,98.25
0.110194,28.15,13.29,98.28
0.110194,28.15,13.86,98.32
0.110194,28.15,14.45,98.35
0.110194,28.15,15.31,98.37
0.110194,28.15,16.61,98.38
0.107632,28.15,18.32,98.4
0.110194,28.15,20.02,98.42
0.110194,28.15,20.8,98.45
0.108913,28.15,19.46,98.48
0.110194,28.15,14.94,98.5
0.110194,28.15,6.67,98.53
0.110194,28.15,-4.98,98.53
0.108913,28.15,-18.79,98.57
0.111476,28.15,-32.99,98.6
0.108913,28.15,-45.76,98.63
0.108913,28.15,-55.67,98.67
0.108913,28.19,-61.78,98.72
0.110194,28.19,-63.6,98.77
0.110194,28.19,-61.07,98.82
0.111476,28.19,-54.42,98.87
0.108913,28.19,-44.38,98.92
0.110194,28.19,-32.1,98.97
0.108913,28.19,-19.08,99.03
