EDA_1646665728.000000,EDA_id,TEMP_1646665728.000000,BVP_1646665728.00,HR_1646665738.000000
0.130688,S31,32.21,42.28,71.68
0.129407,S31,32.21,41.98,71.58
0.131969,S31,32.23,41.4,71.48
0.131969,S31,32.23,40.34,71.4
0.130688,S31,32.23,38.64,71.33
0.130688,S31,32.23,36.17,71.28
0.129407,S31,32.21,32.87,71.25
0.130688,S31,32.21,28.72,71.23
0.131969,S31,32.21,23.76,71.22
0.131969,S31,32.21,18.12,71.2
0.131969,S31,32.18,11.99,71.18
0.130688,S31,32.18,5.63,71.17
0.131969,S31,32.18,-0.71,71.2
0.131969,S31,32.18,-6.75,71.23
0.130688,S31,32.21,-12.24,71.3
0.130688,S31,32.21,-16.98,71.37
0.130688,S31,32.21,-20.81,71.43
0.131969,S31,32.21,-23.65,71.48
0.13325,S31,32.23,-25.46,71.52
0.130688,S31,32.23,-26.3,71.58
0.131969,S31,32.23,-26.25,71.63
0.131969,S31,32.23,-25.44,71.7
0.13325,S31,32.21,-24.01,71.77
0.131969,S31,32.21,-22.11,71.82
0.131969,S31,32.21,-19.88,71.9
0.13325,S31,32.21,-17.44,71.97
0.131969,S31,32.23,-14.87,72.03
0.131969,S31,32.23,-12.24,72.1
0.130688,S31,32.23,-9.61,72.15
0.13325,S31,32.23,-7.01,72.22
0.131969,S31,32.23,-4.45,72.33
0.13325,S31,32.23,-1.94,72.48
0.131969,S31,32.23,0.55,72.65
0.13325,S31,32.23,3.03,72.8
0.134532,S31,32.23,5.56,72.98
0.134532,S31,32.23,8.15,73.2
0.13325,S31,32.23,10.86,73.4
0.13325,S31,32.23,13.66,73.62
0.13325,S31,32.23,16.51,73.8
0.131969,S31,32.23,19.43,73.98
0.13325,S31,32.23,22.4,74.13
0.13325,S31,32.23,25.45,74.27
0.134532,S31,32.23,28.58,74.4
0.13325,S31,32.23,31.84,74.5
0.13325,S31,32.23,35.28,74.6
0.134532,S31,32.23,38.98,74.75
0.134532,S31,32.25,42.86,74.9
0.13325,S31,32.25,46.9,75.1
0.131969,S31,32.25,51.09,75.3
0.131969,S31,32.25,55.42,75.5
0.13325,S31,32.23,59.91,75.5
0.13325,S31,32.23,64.57,75.52
0.131969,S31,32.23,69.45,75.53
0.13325,S31,32.23,74.57,75.52
0.130688,S31,32.25,80.03,75.57
0.131969,S31,32.25,85.66,75.65
0.131969,S31,32.25,91.36,75.73
0.131969,S31,32.25,97.08,75.82
