EDA_1646657973.000000,TEMP_1646657973.000000,BVP_1646657973.00,HR_1646657983.000000
4.0,4.0,64.0,1.0
0.0,33.29,-0.0,83.0
0.188412,33.29,-0.0,83.0
0.256343,33.29,-0.0,72.0
0.255062,33.29,-0.0,66.5
0.255062,33.29,-0.0,62.8
0.25378,33.29,-0.0,62.5
0.25378,33.29,-0.0,64.29
0.255062,33.29,-0.0,66.0
0.255062,33.27,-0.0,67.22
0.256343,33.27,-0.0,69.3
0.25378,33.27,0.0,71.0
0.258907,33.27,0.01,72.75
0.260189,33.27,0.01,74.46
0.260189,33.27,-0.0,75.93
0.26147,33.27,-0.03,77.07
0.26147,33.27,-0.05,78.06
0.262752,33.25,-0.05,78.94
0.26147,33.25,0.0,79.67
0.26147,33.25,0.13,80.32
0.262752,33.25,0.36,80.9
0.257625,33.23,0.66,81.43
0.26147,33.23,1.01,82.0
0.25378,33.23,1.37,82.35
0.244808,33.23,1.72,82.67
0.269161,33.23,2.06,82.88
0.251217,33.23,2.4,83.0
0.223019,33.23,2.79,83.11
0.211483,33.23,3.24,83.07
0.211483,33.21,3.8,82.97
0.203793,33.21,4.42,82.83
0.219174,33.21,5.06,82.71
0.233272,33.21,5.66,82.53
0.234554,33.18,6.2,82.39
0.233272,33.18,6.68,82.32
0.24609,33.18,7.15,82.29
0.251217,33.18,7.68,82.28
0.251217,33.05,8.31,82.38
0.248653,33.05,9.14,82.76
0.242245,33.05,10.09,83.15
0.166623,33.05,11.04,83.5
0.217892,33.11,11.88,83.8
0.226864,33.11,12.56,84.14
0.228146,33.11,13.14,84.49
0.225582,33.11,13.76,84.82
0.225582,33.11,14.65,85.13
0.226864,33.11,15.96,85.41
0.226864,33.11,17.91,85.64
0.231991,33.11,20.32,85.96
0.247371,33.13,22.9,86.22
0.251217,33.13,25.38,86.44
0.264034,33.13,27.58,86.61
0.251217,33.13,29.57,86.75
0.249935,33.13,31.68,86.89
0.249935,33.13,34.32,87.06
0.247371,33.13,37.81,87.24
0.229427,33.13,42.54,87.27
0.226864,33.09,48.15,87.33
0.226864,33.09,54.1,87.45
0.230709,33.09,59.83,87.58
0.239681,33.09,64.97,87.73
0.244808,33.07,69.58,87.97
0.251217,33.07,74.14,88.17
0.255062,33.07,79.34,88.93
0.25378,33.07,85.71,89.7
0.249935,33.11,93.76,90.52
0.248653,33.11,103.0,91.1
0.251217,33.11,112.62,91.47
0.255062,33.11,121.73,91.78
0.256343,33.23,129.77,92.08
0.257625,33.23,136.75,92.2
0.255062,33.23,143.3,92.3
0.257625,33.23,150.75,92.33
0.25378,33.21,157.77,92.32
0.231991,33.21,166.64,92.23
0.223019,33.21,177.95,92.18
0.214047,33.21,191.79,92.15
0.214047,33.16,206.97,92.12
0.203793,33.16,220.57,92.12
0.205075,33.16,228.25,92.1
0.210202,33.16,225.36,92.07
0.211483,33.15,208.53,92.07
0.205075,33.15,176.87,92.0
0.194821,33.15,132.76,92.0
0.203793,33.15,80.05,91.98
0.211483,33.11,23.07,91.98
0.229427,33.11,-34.94,92.0
0.233272,33.11,-92.44,92.03
0.240963,33.11,-149.16,92.13
0.275569,33.09,-205.23,92.27
0.202511,33.09,-260.37,92.43
0.281978,33.09,-313.74,92.6
0.278133,33.09,-363.88,92.82
0.271724,33.03,-409.83,92.98
0.240963,33.03,-450.9,93.12
0.198666,33.03,-486.49,93.18
0.185849,33.03,-515.72,93.22
0.175595,32.91,-537.2,93.23
0.157651,32.91,-549.17,93.07
0.192258,32.91,-549.89,92.93
0.198666,32.91,-538.26,92.82
0.185849,32.95,-514.07,92.65
0.192258,32.95,-478.49,92.43
0.192258,32.95,-433.65,92.2
0.194821,32.95,-382.17,91.97
0.193539,32.93,-326.68,91.67
0.193539,32.93,-269.44,91.38
0.193539,32.93,-212.17,91.1
0.196103,32.93,-156.13,90.72
0.196103,32.95,-102.36,90.4
0.197384,32.95,-51.71,90.07
0.199948,32.95,-5.17,89.73
0.198666,32.95,36.39,89.42
0.20123,32.91,72.31,89.08
0.20123,32.91,102.32,88.72
0.20123,32.91,126.56,88.35
0.199948,32.91,145.53,88.17
0.20123,32.93,159.95,87.95
0.20123,32.93,170.52,87.72
0.20123,32.93,177.87,87.47
0.20123,32.93,182.39,87.18
0.203793,32.89,184.37,86.98
0.205075,32.89,184.04,86.83
0.187131,32.89,181.67,86.65
0.169187,32.89,177.61,86.47
0.198666,32.89,172.28,86.25
0.217892,32.89,166.07,86.03
0.247371,32.89,159.34,85.82
0.271724,32.89,152.34,85.6
0.270442,32.89,145.19,85.38
0.270442,32.89,137.99,85.17
0.266597,32.89,130.77,84.95
0.20123,32.89,123.57,84.73
0.190976,32.81,116.47,84.52
0.185849,32.81,109.52,84.38
0.182004,32.81,102.8,84.2
0.184567,32.81,96.37,84.02
0.187131,32.84,90.25,83.85
0.21661,32.84,84.46,83.65
0.158933,32.84,79.02,83.47
0.160215,32.84,73.94,83.3
0.167905,32.87,69.21,83.13
0.146116,32.87,64.87,83.02
0.133299,32.87,60.9,82.88
0.148679,32.87,57.32,82.75
0.149961,32.89,54.11,82.63
0.149961,32.89,51.28,82.57
0.149961,32.89,48.81,82.5
0.149961,32.89,46.73,82.38
0.148679,32.89,45.01,82.27
0.148679,32.89,43.66,82.13
0.151243,32.89,42.67,82.0
0.151243,32.89,42.01,81.87
0.148679,32.87,41.63,81.77
0.155088,32.87,41.46,81.6
0.157651,32.87,41.39,81.5
0.157651,32.87,41.27,81.43
0.162778,32.87,40.94,81.33
0.162778,32.87,40.21,81.23
0.160215,32.87,38.91,81.1
0.160215,32.87,36.88,80.95
0.157651,32.89,34.04,80.87
0.160215,32.89,30.34,80.83
0.161496,32.89,25.82,80.83
0.158933,32.89,20.54,80.83
0.160215,32.89,14.68,80.92
0.162778,32.89,8.45,80.98
0.17175,32.89,2.13,81.07
0.173032,32.89,-4.01,81.15
0.17944,32.87,-9.7,81.2
0.176877,32.87,-14.73,81.25
0.173032,32.87,-18.9,81.37
0.174314,32.87,-22.12,81.45
0.156369,32.87,-24.34,81.57
0.128172,32.87,-25.59,81.68
0.135862,32.87,-25.93,81.78
0.142271,32.87,-25.5,81.85
0.147397,32.87,-24.44,81.9
0.149961,32.87,-22.89,81.92
0.149961,32.87,-21.01,81.93
