EDA_1644852028.000000,TEMP_1644852028.000000,BVP_1644852028.00,HR_1644852038.000000
4.0,4.0,64.0,1.0
0.0,27.25,-0.0,52.0
0.120438,27.25,-0.0,56.0
0.169126,27.25,-0.0,55.67
0.166563,27.25,-0.0,55.75
0.167844,27.25,-0.0,57.4
0.169126,27.25,-0.0,57.0
0.169126,27.25,-0.0,56.43
0.169126,27.25,-0.0,55.62
0.170407,27.23,-0.0,54.89
0.170407,27.23,-0.0,54.3
0.171688,27.23,0.0,54.0
0.171688,27.23,0.01,53.92
0.171688,27.21,0.01,53.62
0.172969,27.21,-0.0,53.36
0.172969,27.21,-0.03,53.13
0.175532,27.21,-0.05,53.0
0.172969,27.25,-0.05,52.88
0.172969,27.25,0.0,52.89
0.172969,27.25,0.13,53.05
0.174251,27.25,0.36,53.4
0.176813,27.23,0.66,53.86
0.175532,27.23,1.01,54.27
0.175532,27.23,1.37,54.52
0.176813,27.23,1.72,54.75
0.175532,27.21,2.06,54.84
0.175532,27.21,2.4,55.0
0.175532,27.21,2.79,55.04
0.176813,27.21,3.24,54.96
0.176813,27.21,3.8,55.34
0.176813,27.21,4.42,55.77
0.176813,27.21,5.06,56.35
0.175532,27.21,5.66,57.03
0.175532,27.23,6.2,57.82
0.176813,27.23,6.68,58.5
0.175532,27.23,7.15,59.17
0.175532,27.23,7.68,59.97
0.176813,27.23,8.31,60.68
0.175532,27.23,9.14,61.32
0.175532,27.23,10.09,61.97
0.175532,27.23,11.04,62.6
0.176813,27.19,11.88,63.22
0.176813,27.19,12.56,63.88
0.176813,27.19,13.14,64.49
0.175532,27.19,13.76,65.07
0.176813,27.21,14.65,65.62
0.175532,27.21,15.96,66.11
0.176813,27.21,17.91,66.64
0.176813,27.21,20.32,67.12
0.180657,27.23,22.9,67.61
0.176813,27.23,25.38,68.08
0.176813,27.23,27.58,68.55
0.175532,27.23,29.57,68.98
0.174251,27.21,31.68,69.4
0.175532,27.21,34.32,69.85
0.178094,27.21,37.81,70.33
0.176813,27.21,42.54,70.71
0.176813,27.23,48.15,71.16
0.175532,27.23,54.1,71.57
0.176813,27.23,59.83,72.02
0.179376,27.23,64.97,72.45
0.176813,27.21,69.58,73.22
0.176813,27.21,74.14,73.77
0.178094,27.21,79.34,74.4
0.176813,27.21,85.71,75.0
0.178094,27.23,93.76,75.38
0.178094,27.23,103.0,75.82
0.185782,27.23,112.62,76.27
0.185782,27.23,121.73,76.78
