id,EDA,TEMP,BVP,HR
S32,4.0,4.0,64.0,1.0
S32,0.0,30.01,-0.0,56.0
S32,0.098662,30.01,-0.0,56.0
S32,0.140946,30.01,-0.0,55.0
S32,0.142228,30.01,-0.0,54.5
S32,0.143509,30.01,-0.0,54.2
S32,0.143509,30.01,-0.0,54.33
S32,0.142228,30.01,-0.0,54.43
S32,0.143509,30.01,-0.0,54.62
S32,0.143509,30.01,-0.0,54.78
S32,0.143509,30.01,-0.0,54.9
S32,0.142228,30.01,0.0,55.0
S32,0.143509,30.01,0.01,55.17
S32,0.143509,30.01,0.01,55.31
S32,0.143509,30.01,-0.0,55.36
S32,0.143509,30.01,-0.03,55.4
S32,0.143509,30.01,-0.05,55.44
S32,0.14479,30.03,-0.05,55.47
S32,0.14479,30.03,0.0,55.44
S32,0.146072,30.03,0.13,55.37
S32,0.14479,30.03,0.36,55.3
S32,0.146072,29.99,0.66,55.24
S32,0.143509,29.99,1.01,55.23
S32,0.143509,29.99,1.37,55.22
S32,0.14479,29.99,1.72,55.25
S32,0.14479,30.03,2.06,55.32
S32,0.146072,30.03,2.4,55.42
S32,0.14479,30.03,2.79,55.48
S32,0.146072,30.03,3.24,55.5
S32,0.14479,30.03,3.8,55.48
S32,0.14479,30.03,4.42,55.43
S32,0.146072,30.03,5.06,55.35
S32,0.147353,30.03,5.66,55.25
S32,0.147353,30.05,6.2,55.12
S32,0.146072,30.05,6.68,55.0
S32,0.146072,30.05,7.15,54.91
S32,0.147353,30.05,7.68,54.89
S32,0.147353,30.03,8.31,54.84
S32,0.147353,30.03,9.14,54.79
S32,0.147353,30.03,10.09,54.74
S32,0.146072,30.03,11.04,54.67
S32,0.148634,30.01,11.88,54.54
S32,0.147353,30.01,12.56,54.4
S32,0.148634,30.01,13.14,54.42
S32,0.148634,30.01,13.76,54.77
S32,0.147353,30.03,14.65,55.24
S32,0.147353,30.03,15.96,55.7
S32,0.147353,30.03,17.91,56.11
S32,0.148634,30.03,20.32,56.52
S32,0.148634,30.03,22.9,56.96
S32,0.149916,30.03,25.38,57.44
S32,0.147353,30.03,27.58,57.94
S32,0.148634,30.03,29.57,58.42
S32,0.149916,30.05,31.68,58.87
S32,0.149916,30.05,34.32,59.3
S32,0.149916,30.05,37.81,59.75
S32,0.149916,30.05,42.54,60.16
S32,0.148634,30.03,48.15,60.58
S32,0.148634,30.03,54.1,60.97
S32,0.149916,30.03,59.83,61.34
S32,0.149916,30.03,64.97,61.7
S32,0.149916,30.05,69.58,62.23
S32,0.148634,30.05,74.14,62.73
S32,0.149916,30.05,79.34,63.32
S32,0.149916,30.05,85.71,63.82
S32,0.151197,30.07,93.76,64.28
S32,0.151197,30.07,103.0,64.53
S32,0.152478,30.07,112.62,64.78
S32,0.149916,30.07,121.73,65.1
S32,0.152478,30.05,129.77,65.45
S32,0.151197,30.05,136.75,65.77
S32,0.155041,30.05,143.3,66.1
S32,0.151197,30.05,150.75,66.45
S32,0.152478,30.03,157.77,66.75
S32,0.151197,30.03,166.64,67.1
S32,0.152478,30.03,177.95,67.43
S32,0.152478,30.03,191.79,67.75
S32,0.152478,30.05,206.97,68.1
S32,0.152478,30.05,220.57,68.47
S32,0.151197,30.05,228.25,68.87
S32,0.152478,30.05,225.36,69.25
S32,0.152478,30.05,208.53,69.28
S32,0.155041,30.05,176.87,69.27
S32,0.155041,30.05,132.76,69.23
S32,0.151197,30.05,80.05,69.12
S32,0.15376,30.07,23.07,68.98
S32,0.15376,30.07,-34.94,68.83
S32,0.155041,30.07,-92.44,68.7
S32,0.15376,30.07,-149.16,68.6
S32,0.15376,30.05,-205.23,68.52
S32,0.15376,30.05,-260.37,68.45
S32,0.152478,30.05,-313.74,68.4
S32,0.15376,30.05,-363.87,68.37
S32,0.15376,30.09,-409.83,68.35
S32,0.15376,30.09,-450.91,68.35
S32,0.155041,30.09,-486.5,68.33
S32,0.156322,30.09,-515.74,68.28
S32,0.155041,30.05,-537.23,68.25
S32,0.155041,30.05,-549.22,68.22
S32,0.155041,30.05,-549.96,68.18
S32,0.15376,30.05,-538.37,68.18
S32,0.155041,30.07,-514.21,68.22
S32,0.155041,30.07,-478.67,68.25
S32,0.155041,30.07,-433.88,68.18
S32,0.155041,30.07,-382.45,67.87
S32,0.15376,30.07,-327.02,67.45
S32,0.15376,30.07,-269.84,67.05
S32,0.155041,30.07,-212.63,66.68
S32,0.155041,30.07,-156.66,66.3
S32,0.156322,30.07,-102.95,65.87
S32,0.156322,30.07,-52.37,65.38
S32,0.155041,30.07,-5.9,64.85
S32,0.155041,30.07,35.58,64.3
S32,0.155041,30.07,71.43,63.88
S32,0.155041,30.07,101.35,63.42
S32,0.156322,30.07,125.5,62.88
S32,0.155041,30.07,144.38,62.35
S32,0.156322,30.09,158.69,61.82
S32,0.15376,30.09,169.15,61.28
S32,0.156322,30.09,176.37,60.78
S32,0.156322,30.09,180.75,60.28
S32,0.155041,30.09,182.57,59.72
S32,0.155041,30.09,182.07,59.2
S32,0.155041,30.09,179.51,58.65
S32,0.155041,30.09,175.23,58.18
S32,0.156322,30.11,169.65,57.75
S32,0.156322,30.11,163.18,57.48
S32,0.157604,30.11,156.15,57.22
S32,0.156322,30.11,148.81,56.85
S32,0.157604,30.11,141.3,56.45
S32,0.156322,30.11,133.69,56.08
S32,0.157604,30.11,126.02,55.7
S32,0.157604,30.11,118.33,55.28
S32,0.155041,30.13,110.69,54.92
S32,0.156322,30.13,103.16,54.52
S32,0.157604,30.13,95.8,54.13
S32,0.157604,30.13,88.68,53.77
S32,0.157604,30.13,81.83,53.37
S32,0.157604,30.13,75.25,52.97
S32,0.157604,30.13,68.95,52.55
S32,0.158885,30.13,62.95,52.17
S32,0.157604,30.13,57.25,52.12
S32,0.156322,30.13,51.86,52.1
S32,0.157604,30.13,46.78,52.1
S32,0.158885,30.13,42.03,52.17
S32,0.156322,30.11,37.59,52.23
S32,0.157604,30.11,33.45,52.3
S32,0.158885,30.11,29.61,52.35
S32,0.157604,30.11,26.07,52.38
S32,0.157604,30.13,22.81,52.4
S32,0.157604,30.13,19.83,52.42
S32,0.158885,30.13,17.11,52.42
S32,0.158885,30.13,14.67,52.43
S32,0.157604,30.13,12.48,52.45
S32,0.158885,30.13,10.54,52.45
S32,0.158885,30.13,8.83,52.45
S32,0.160166,30.13,7.35,52.43
S32,0.158885,30.13,6.07,52.4
S32,0.158885,30.13,4.97,52.35
S32,0.158885,30.13,4.05,52.6
S32,0.158885,30.13,3.27,53.1
S32,0.157604,30.11,2.62,53.72
S32,0.158885,30.11,2.09,54.33
S32,0.161448,30.11,1.65,54.95
S32,0.158885,30.11,1.3,55.57
S32,0.160166,30.13,1.01,56.18
S32,0.158885,30.13,0.79,56.78
S32,0.160166,30.13,0.61,57.42
S32,0.161448,30.13,0.48,58.1
S32,0.160166,30.11,0.37,58.93
S32,0.160166,30.11,0.3,59.7
S32,0.160166,30.11,0.24,60.45
S32,0.158885,30.11,0.21,61.15
S32,0.162729,30.15,0.19,61.85
S32,0.161448,30.15,0.18,61.83
S32,0.162729,30.15,0.19,61.85
S32,0.162729,30.15,0.21,61.88
S32,0.162729,30.13,0.23,61.88
S32,0.161448,30.13,0.26,61.9
S32,0.161448,30.13,0.29,61.87
S32,0.162729,30.13,0.33,61.83
S32,0.165292,30.13,0.38,61.78
S32,0.161448,30.13,0.42,61.72
S32,0.161448,30.13,0.46,61.65
S32,0.162729,30.13,0.51,61.58
S32,0.162729,30.13,0.56,61.52
S32,0.16401,30.13,0.61,61.47
S32,0.16401,30.13,0.66,61.4
S32,0.16401,30.13,0.72,61.37
S32,0.16401,30.15,0.78,61.33
S32,0.16401,30.15,0.85,61.28
S32,0.16401,30.15,0.92,61.23
S32,0.16401,30.15,1.0,61.2
S32,0.165292,30.15,1.08,61.17
S32,0.16401,30.15,1.18,61.13
S32,0.166573,30.15,1.29,61.1
S32,0.16401,30.15,1.41,61.07
S32,0.169136,30.15,1.55,61.02
S32,0.170417,30.15,1.7,60.98
S32,0.17298,30.15,1.87,60.95
S32,0.174261,30.15,2.06,60.92
S32,0.17298,30.15,2.27,60.9
S32,0.169136,30.15,2.5,60.88
S32,0.170417,30.15,2.77,60.87
S32,0.175542,30.15,3.05,60.85
S32,0.178105,30.17,3.37,60.82
S32,0.179386,30.17,3.71,60.77
S32,0.176824,30.17,4.09,60.75
S32,0.174261,30.17,4.51,60.73
S32,0.170417,30.19,4.96,60.75
S32,0.167854,30.19,5.44,60.7
S32,0.166573,30.19,5.97,60.68
S32,0.166573,30.19,6.53,60.65
S32,0.166573,30.13,7.13,60.63
S32,0.165292,30.13,7.78,60.62
S32,0.166573,30.13,8.47,60.62
S32,0.165292,30.13,9.21,60.65
S32,0.166573,30.11,9.99,60.72
S32,0.166573,30.11,10.82,60.8
S32,0.166573,30.11,11.69,60.57
S32,0.165292,30.11,12.61,60.05
S32,0.165292,30.13,13.57,59.42
S32,0.165292,30.13,14.6,58.78
S32,0.16401,30.13,15.68,58.15
S32,0.16401,30.13,16.84,57.52
S32,0.162729,30.13,18.05,56.88
S32,0.162729,30.13,19.31,56.25
S32,0.161448,30.13,20.61,55.58
S32,0.162729,30.13,21.87,54.87
S32,0.16401,30.11,23.06,54.02
S32,0.16401,30.11,24.08,53.23
S32,0.16401,30.11,24.81,52.48
S32,0.165292,30.11,25.12,51.8
S32,0.165292,30.13,24.9,51.02
S32,0.16401,30.13,24.06,51.0
S32,0.165292,30.13,22.49,50.98
S32,0.165292,30.13,20.21,50.98
S32,0.165292,30.11,17.21,51.0
S32,0.165292,30.11,13.57,51.02
S32,0.165292,30.11,9.43,51.05
S32,0.165292,30.11,4.96,51.08
S32,0.166573,30.09,0.38,51.12
S32,0.165292,30.09,-4.09,51.15
S32,0.169136,30.09,-8.25,51.18
S32,0.166573,30.09,-11.9,51.2
S32,0.165292,30.15,-14.92,51.23
S32,0.165292,30.15,-17.19,51.28
S32,0.165292,30.15,-18.7,51.35
S32,0.166573,30.15,-19.45,51.4
S32,0.165292,30.13,-19.53,51.45
S32,0.169136,30.13,-19.03,51.5
S32,0.167854,30.13,-18.07,51.55
S32,0.167854,30.13,-16.74,51.58
S32,0.167854,30.13,-15.16,51.63
S32,0.166573,30.13,-13.4,51.68
S32,0.166573,30.13,-11.53,52.0
S32,0.165292,30.13,-9.59,52.33
S32,0.165292,30.13,-7.62,52.73
S32,0.165292,30.13,-5.69,53.15
S32,0.165292,30.13,-3.83,53.78
S32,0.165292,30.13,-2.03,54.33
S32,0.167854,30.19,-0.26,54.77
S32,0.166573,30.19,1.52,55.17
S32,0.165292,30.19,3.39,55.58
S32,0.166573,30.19,5.34,56.05
S32,0.165292,30.17,7.39,56.52
S32,0.166573,30.17,9.58,56.93
S32,0.166573,30.17,11.77,57.3
S32,0.166573,30.17,13.91,57.72
S32,0.166573,30.17,16.01,58.1
S32,0.165292,30.17,18.12,58.58
S32,0.16401,30.17,20.32,59.03
S32,0.167854,30.17,22.7,59.27
S32,0.165292,30.21,25.31,59.48
S32,0.166573,30.21,28.17,59.7
S32,0.166573,30.21,31.34,59.73
S32,0.166573,30.21,34.56,59.77
S32,0.166573,30.19,37.72,59.77
S32,0.166573,30.19,40.82,59.78
S32,0.166573,30.19,43.98,59.8
S32,0.165292,30.19,47.35,59.82
S32,0.165292,30.21,51.05,59.83
S32,0.167854,30.21,55.1,59.85
S32,0.167854,30.21,59.48,59.85
S32,0.166573,30.21,64.13,59.85
S32,0.166573,30.23,68.52,59.85
S32,0.167854,30.23,72.39,59.87
S32,0.16401,30.23,75.81,60.02
S32,0.166573,30.23,79.02,60.2
S32,0.165292,30.21,82.39,60.4
S32,0.166573,30.21,86.17,60.6
S32,0.167854,30.21,90.4,60.83
S32,0.167854,30.21,94.88,60.98
S32,0.167854,30.21,99.32,61.12
S32,0.167854,30.21,102.72,61.23
S32,0.166573,30.21,104.58,61.22
S32,0.167854,30.21,104.78,61.2
S32,0.166573,30.21,103.54,61.18
S32,0.167854,30.21,101.1,61.17
S32,0.166573,30.21,97.31,61.15
S32,0.165292,30.21,91.25,61.17
S32,0.167854,30.21,80.85,61.22
S32,0.167854,30.21,68.06,61.18
S32,0.166573,30.21,52.77,61.15
S32,0.166573,30.21,34.96,61.25
S32,0.167854,30.23,15.13,61.22
S32,0.166573,30.23,-5.81,61.18
S32,0.167854,30.23,-26.84,61.17
S32,0.167854,30.23,-47.14,61.15
S32,0.167854,30.21,-66.45,61.15
S32,0.166573,30.21,-84.99,61.17
S32,0.166573,30.21,-103.25,61.18
S32,0.167854,30.21,-122.64,61.2
S32,0.169136,30.19,-144.36,61.2
S32,0.169136,30.19,-169.42,61.2
S32,0.167854,30.19,-198.15,60.92
S32,0.169136,30.19,-229.61,60.62
S32,0.166573,30.23,-261.09,60.28
S32,0.169136,30.23,-288.26,59.9
S32,0.166573,30.23,-306.15,59.32
S32,0.167854,30.23,-310.74,58.8
S32,0.167854,30.23,-301.08,58.4
S32,0.167854,30.23,-279.15,58.02
S32,0.171698,30.23,-249.29,57.62
S32,0.169136,30.23,-216.49,57.17
S32,0.167854,30.21,-184.68,56.73
S32,0.167854,30.21,-155.79,56.35
S32,0.169136,30.21,-129.94,56.02
S32,0.167854,30.21,-106.44,55.63
S32,0.166573,30.19,-84.77,55.27
S32,0.167854,30.19,-65.32,54.87
S32,0.167854,30.19,-48.68,54.48
S32,0.169136,30.19,-35.02,54.33
S32,0.167854,30.21,-23.8,54.18
S32,0.170417,30.21,-13.89,54.03
S32,0.167854,30.21,-4.2,54.28
S32,0.169136,30.21,5.79,54.58
S32,0.167854,30.21,15.85,55.42
S32,0.169136,30.21,25.19,56.22
S32,0.169136,30.21,32.85,56.75
S32,0.167854,30.21,38.35,57.1
S32,0.167854,30.21,41.93,57.47
S32,0.169136,30.21,44.39,57.83
S32,0.169136,30.21,46.65,58.25
S32,0.169136,30.21,49.39,58.68
S32,0.170417,30.21,52.76,59.07
S32,0.169136,30.21,56.36,59.47
S32,0.167854,30.21,59.5,59.68
S32,0.167854,30.21,61.41,59.87
S32,0.167854,30.19,61.71,60.07
S32,0.169136,30.19,60.48,60.22
S32,0.167854,30.19,58.22,60.35
S32,0.169136,30.19,55.67,60.57
S32,0.169136,30.21,53.45,60.82
S32,0.167854,30.21,51.89,61.08
S32,0.170417,30.21,50.92,61.48
S32,0.170417,30.21,50.17,61.85
S32,0.170417,30.21,49.17,62.25
S32,0.169136,30.21,47.57,62.63
S32,0.167854,30.21,45.33,62.98
S32,0.169136,30.21,42.6,63.28
S32,0.167854,30.17,39.72,63.3
S32,0.169136,30.17,36.98,63.4
S32,0.169136,30.17,34.5,63.5
S32,0.169136,30.17,32.23,63.48
S32,0.170417,30.19,29.96,63.57
S32,0.169136,30.19,27.45,63.63
S32,0.169136,30.19,24.52,63.67
S32,0.169136,30.19,21.11,63.7
S32,0.170417,30.17,17.34,63.72
S32,0.169136,30.17,13.43,63.73
S32,0.169136,30.17,9.67,63.73
S32,0.169136,30.17,6.27,63.73
S32,0.169136,30.17,3.34,63.73
S32,0.169136,30.17,0.78,63.73
S32,0.170417,30.17,-1.61,63.73
S32,0.170417,30.17,-4.11,63.73
S32,0.170417,30.17,-6.91,63.72
S32,0.170417,30.17,-10.08,63.72
S32,0.169136,30.17,-13.45,63.7
S32,0.169136,30.17,-16.79,63.68
S32,0.169136,30.15,-19.85,63.67
S32,0.169136,30.15,-22.51,63.67
S32,0.169136,30.15,-24.78,63.67
S32,0.169136,30.15,-26.81,63.67
S32,0.170417,30.17,-28.83,63.67
S32,0.170417,30.17,-31.16,63.68
S32,0.170417,30.17,-34.1,63.68
S32,0.170417,30.17,-37.89,63.68
S32,0.169136,30.17,-42.61,63.68
S32,0.167854,30.17,-47.9,63.68
S32,0.167854,30.17,-52.97,63.7
S32,0.169136,30.17,-56.62,63.72
S32,0.169136,30.17,-57.58,63.73
S32,0.169136,30.17,-54.95,63.75
S32,0.170417,30.17,-48.55,63.53
S32,0.170417,30.17,-39.03,63.25
S32,0.170417,30.19,-27.7,62.43
S32,0.169136,30.19,-16.11,61.63
S32,0.170417,30.19,-5.56,61.12
S32,0.170417,30.19,3.21,60.82
S32,0.174261,30.17,10.1,60.52
S32,0.169136,30.17,15.49,60.22
S32,0.170417,30.17,19.97,59.9
S32,0.170417,30.17,24.0,59.55
S32,0.171698,30.17,27.81,59.25
S32,0.171698,30.17,31.4,58.9
S32,0.171698,30.17,34.64,58.58
S32,0.171698,30.17,37.41,58.23
S32,0.170417,30.17,39.66,57.83
S32,0.169136,30.17,41.45,57.77
S32,0.170417,30.17,42.79,57.73
S32,0.17298,30.17,43.62,57.62
S32,0.170417,30.19,43.87,57.55
S32,0.170417,30.19,43.46,57.5
S32,0.171698,30.19,42.5,57.43
S32,0.170417,30.19,41.22,57.37
S32,0.170417,30.19,39.95,57.27
S32,0.170417,30.19,38.92,57.2
S32,0.170417,30.19,38.16,57.13
S32,0.170417,30.19,37.49,57.08
S32,0.170417,30.19,36.63,57.3
S32,0.170417,30.19,35.37,57.45
S32,0.171698,30.19,33.65,57.62
