id,EDA,TEMP,BVP,HR
S15,4.0,4.0,64.0,1.0
S15,0.0,30.81,-0.0,85.0
S15,0.226782,30.81,-0.0,80.0
S15,0.271626,30.81,-0.0,87.0
S15,0.270345,30.81,-0.0,91.0
S15,0.270345,30.81,-0.0,84.4
S15,0.269063,30.81,-0.0,81.0
S15,0.272907,30.81,-0.0,80.29
S15,0.272907,30.81,-0.0,79.62
S15,0.276751,30.83,-0.0,79.11
S15,0.27547,30.83,-0.0,78.5
S15,0.276751,30.83,0.0,77.64
S15,0.276751,30.83,0.01,76.92
S15,0.276751,30.81,0.01,76.31
S15,0.274188,30.81,-0.0,75.71
S15,0.274188,30.81,-0.03,75.07
S15,0.276751,30.81,-0.05,74.5
S15,0.276751,30.81,-0.05,73.94
S15,0.276751,30.81,0.0,73.39
S15,0.278032,30.81,0.13,73.0
S15,0.27547,30.81,0.36,72.55
S15,0.276751,30.81,0.66,72.1
S15,0.274188,30.81,1.01,71.64
S15,0.27547,30.81,1.37,71.22
S15,0.274188,30.81,1.72,70.83
S15,0.274188,30.81,2.06,70.52
S15,0.276751,30.81,2.4,70.23
S15,0.283157,30.81,2.79,69.93
S15,0.281876,30.81,3.24,69.64
S15,0.280595,30.81,3.8,69.48
S15,0.279313,30.81,4.42,69.27
S15,0.278032,30.81,5.06,69.06
S15,0.276751,30.81,5.66,68.88
S15,0.283157,30.83,6.2,68.61
S15,0.274188,30.83,6.68,68.35
S15,0.274188,30.83,7.15,68.11
S15,0.274188,30.83,7.68,67.81
S15,0.272907,30.81,8.31,67.51
S15,0.276751,30.81,9.14,67.13
S15,0.272907,30.81,10.09,67.05
S15,0.271626,30.81,11.04,66.93
S15,0.270345,30.79,11.88,66.9
S15,0.270345,30.79,12.56,66.74
S15,0.270345,30.79,13.14,66.6
S15,0.271626,30.79,13.76,66.48
S15,0.270345,30.79,14.65,66.33
S15,0.269063,30.79,15.96,66.13
S15,0.269063,30.79,17.91,65.91
S15,0.267782,30.79,20.32,65.73
S15,0.267782,30.79,22.9,65.51
S15,0.267782,30.79,25.38,65.22
S15,0.266501,30.79,27.58,64.98
S15,0.266501,30.79,29.57,64.67
S15,0.26522,30.79,31.68,64.43
S15,0.26522,30.79,34.32,64.17
S15,0.26522,30.79,37.81,63.96
S15,0.261376,30.79,42.54,63.75
S15,0.263938,30.79,48.15,63.65
S15,0.262657,30.79,54.1,63.59
S15,0.262657,30.79,59.83,63.53
S15,0.263938,30.79,64.97,63.47
S15,0.261376,30.79,69.58,63.03
S15,0.261376,30.79,74.14,62.72
S15,0.261376,30.79,79.34,61.93
S15,0.260095,30.79,85.71,61.05
S15,0.261376,30.77,93.76,60.92
S15,0.261376,30.77,103.0,60.72
S15,0.261376,30.77,112.62,60.3
