id,EDA,TEMP,BVP,HR
S13,4.0,4.0,64.0,1.0
S13,0.0,34.91,-0.0,73.0
S13,0.03717,34.91,-0.0,64.0
S13,0.067931,34.91,-0.0,63.0
S13,0.062804,34.91,-0.0,68.5
S13,0.064086,34.91,-0.0,71.8
S13,0.064086,34.91,-0.0,73.0
S13,0.064086,34.91,-0.0,74.0
S13,0.064086,34.91,-0.0,74.88
S13,0.064086,34.91,-0.0,76.11
S13,0.064086,34.91,-0.0,77.1
S13,0.064086,34.91,0.0,78.0
S13,0.066649,34.91,0.01,78.75
S13,0.064086,34.87,0.01,79.31
S13,0.065368,34.87,-0.0,79.57
S13,0.066649,34.87,-0.03,79.73
S13,0.064086,34.87,-0.05,79.69
S13,0.065368,34.89,-0.05,79.59
S13,0.066649,34.89,0.0,79.39
S13,0.064086,34.89,0.13,79.21
S13,0.064086,34.89,0.36,79.0
S13,0.061522,34.87,0.66,78.38
S13,0.064086,34.87,1.01,77.82
S13,0.069213,34.87,1.37,77.26
S13,0.066649,34.87,1.72,76.75
S13,0.067931,34.87,2.06,76.24
S13,0.069213,34.87,2.4,75.77
S13,0.070494,34.87,2.79,75.33
S13,0.069213,34.87,3.24,74.93
S13,0.070494,34.77,3.8,74.55
S13,0.071776,34.77,4.42,74.2
S13,0.070494,34.77,5.06,73.9
S13,0.070494,34.77,5.66,73.62
S13,0.070494,34.68,6.2,73.36
S13,0.069213,34.68,6.68,73.12
S13,0.070494,34.68,7.15,72.86
S13,0.069213,34.68,7.68,72.61
S13,0.070494,34.63,8.31,72.38
S13,0.070494,34.63,9.14,72.13
S13,0.070494,34.63,10.09,71.9
S13,0.070494,34.63,11.04,71.68
S13,0.070494,34.63,11.88,71.46
S13,0.070494,34.63,12.56,71.26
S13,0.071776,34.63,13.14,71.07
S13,0.070494,34.63,13.76,70.89
S13,0.071776,34.61,14.65,70.71
S13,0.071776,34.61,15.96,70.54
S13,0.067931,34.61,17.91,70.4
S13,0.065368,34.61,20.32,70.27
S13,0.065368,34.59,22.9,70.14
S13,0.070494,34.59,25.38,70.02
S13,0.062804,34.59,27.58,69.9
S13,0.061522,34.59,29.57,69.79
S13,0.053832,34.71,31.68,69.66
S13,0.070494,34.71,34.32,69.54
S13,0.065368,34.71,37.81,69.42
S13,0.064086,34.71,42.54,69.3
S13,0.062804,34.53,48.15,69.19
S13,0.055114,34.53,54.1,69.07
S13,0.056396,34.53,59.83,68.97
S13,0.061522,34.53,64.97,68.87
S13,0.056396,34.65,69.58,68.7
S13,0.056396,34.65,74.14,68.83
S13,0.056396,34.65,79.34,68.87
S13,0.055114,34.65,85.71,68.52
S13,0.056396,34.77,93.76,68.15
S13,0.056396,34.77,103.0,67.9
S13,0.057677,34.77,112.62,67.63
S13,0.058959,34.77,121.73,67.33
S13,0.058959,34.77,129.77,66.97
S13,0.057677,34.77,136.75,66.6
S13,0.065368,34.77,143.3,66.22
S13,0.062804,34.77,150.75,65.83
S13,0.061522,34.79,157.77,65.47
S13,0.062804,34.79,166.64,65.15
S13,0.062804,34.79,177.95,64.83
S13,0.062804,34.79,191.79,64.57
S13,0.064086,34.77,206.97,64.5
S13,0.065368,34.77,220.57,64.5
S13,0.065368,34.77,228.25,64.52
S13,0.064086,34.77,225.36,64.57
S13,0.064086,34.75,208.53,64.78
S13,0.065368,34.75,176.87,64.97
S13,0.065368,34.75,132.76,65.15
S13,0.064086,34.75,80.05,65.2
S13,0.065368,34.75,23.07,65.28
S13,0.065368,34.75,-34.94,65.37
S13,0.064086,34.75,-92.44,65.45
S13,0.064086,34.75,-149.16,65.52
S13,0.064086,34.75,-205.23,65.58
S13,0.064086,34.75,-260.37,65.62
S13,0.065368,34.75,-313.74,65.63
S13,0.065368,34.75,-363.87,65.63
S13,0.064086,34.77,-409.83,65.63
S13,0.064086,34.77,-450.91,65.62
S13,0.064086,34.77,-486.5,65.6
S13,0.064086,34.77,-515.74,65.57
S13,0.064086,34.75,-537.23,65.53
S13,0.064086,34.75,-549.22,65.52
S13,0.064086,34.75,-549.96,65.5
S13,0.064086,34.75,-538.37,65.5
S13,0.064086,34.73,-514.21,65.5
S13,0.065368,34.73,-478.67,65.82
S13,0.066649,34.73,-433.88,66.13
S13,0.070494,34.73,-382.45,66.43
S13,0.070494,34.73,-327.02,66.75
S13,0.064086,34.73,-269.84,67.07
S13,0.064086,34.73,-212.63,67.33
S13,0.064086,34.73,-156.66,67.6
S13,0.064086,34.75,-102.95,67.93
S13,0.064086,34.75,-52.38,68.23
S13,0.065368,34.75,-5.91,68.53
S13,0.064086,34.75,35.58,68.82
S13,0.064086,34.73,71.43,68.97
S13,0.066649,34.73,101.36,69.17
S13,0.064086,34.73,125.51,69.37
S13,0.066649,34.73,144.4,69.6
S13,0.067931,34.73,158.73,69.78
S13,0.065368,34.73,169.21,69.98
S13,0.065368,34.73,176.45,70.18
S13,0.066649,34.73,180.87,70.38
S13,0.066649,34.71,182.72,70.55
S13,0.067931,34.71,182.26,70.72
S13,0.067931,34.71,179.74,70.92
S13,0.066649,34.71,175.52,71.1
S13,0.067931,34.71,169.99,71.3
S13,0.067931,34.71,163.57,71.48
S13,0.067931,34.71,156.6,71.75
S13,0.065368,34.71,149.32,71.8
S13,0.067931,34.73,141.87,71.83
S13,0.067931,34.73,134.33,71.85
S13,0.069213,34.73,126.72,71.85
S13,0.069213,34.73,119.1,71.83
S13,0.069213,34.71,111.53,71.82
S13,0.067931,34.71,104.07,71.82
S13,0.069213,34.71,96.8,71.83
S13,0.069213,34.71,89.77,71.87
S13,0.069213,34.71,83.01,71.72
S13,0.069213,34.71,76.54,71.53
S13,0.067931,34.71,70.36,71.33
S13,0.069213,34.71,64.49,71.12
S13,0.067931,34.71,58.94,70.87
S13,0.069213,34.71,53.72,70.65
S13,0.066649,34.71,48.83,70.45
S13,0.069213,34.71,44.28,70.38
S13,0.069213,34.71,40.07,70.3
S13,0.069213,34.71,36.2,70.22
S13,0.069213,34.71,32.65,70.13
S13,0.067931,34.71,29.42,70.07
S13,0.067931,34.71,26.51,70.02
S13,0.069213,34.71,23.91,69.98
S13,0.069213,34.71,21.63,69.95
S13,0.070494,34.71,19.64,69.93
S13,0.071776,34.68,17.96,69.92
S13,0.071776,34.68,16.57,69.95
S13,0.071776,34.68,15.47,70.0
S13,0.070494,34.68,14.62,70.07
S13,0.070494,34.66,14.03,70.13
S13,0.069213,34.66,13.68,70.22
S13,0.070494,34.66,13.55,70.3
S13,0.070494,34.66,13.62,70.37
S13,0.069213,34.68,13.88,70.43
S13,0.070494,34.68,14.31,70.17
S13,0.069213,34.68,14.9,69.88
S13,0.069213,34.68,15.62,69.65
S13,0.070494,34.68,16.47,69.4
S13,0.070494,34.68,17.44,69.15
S13,0.070494,34.68,18.52,68.93
S13,0.070494,34.68,19.73,68.72
S13,0.070494,34.66,21.04,68.43
S13,0.070494,34.66,22.46,68.18
S13,0.070494,34.66,23.97,67.93
S13,0.069213,34.66,25.53,67.68
S13,0.070494,34.71,27.08,67.6
S13,0.069213,34.71,28.56,67.47
S13,0.071776,34.71,29.85,67.33
S13,0.071776,34.71,30.81,67.15
S13,0.070494,34.68,31.3,67.0
S13,0.071776,34.68,31.18,66.87
S13,0.070494,34.68,30.3,66.75
S13,0.073058,34.68,28.58,66.7
S13,0.071776,34.66,25.99,66.68
S13,0.073058,34.66,22.54,66.87
S13,0.071776,34.66,18.29,66.9
S13,0.073058,34.66,13.39,67.08
S13,0.073058,34.66,8.05,67.28
S13,0.073058,34.66,2.51,67.47
S13,0.073058,34.66,-2.96,67.57
S13,0.073058,34.66,-8.13,67.93
S13,0.07434,34.66,-12.74,68.27
S13,0.07434,34.66,-16.64,68.68
S13,0.075621,34.66,-19.68,69.12
S13,0.07434,34.66,-21.82,69.55
S13,0.07434,34.68,-23.03,69.93
S13,0.073058,34.68,-23.39,70.37
S13,0.07434,34.68,-23.01,70.88
S13,0.07434,34.68,-22.01,71.42
S13,0.073058,34.65,-20.51,71.9
S13,0.07434,34.65,-18.68,72.4
S13,0.07434,34.65,-16.61,72.88
S13,0.07434,34.65,-14.4,72.9
S13,0.07434,34.66,-12.12,72.93
S13,0.075621,34.66,-9.8,72.95
S13,0.07434,34.66,-7.48,72.98
S13,0.07434,34.66,-5.19,73.03
S13,0.073058,34.68,-2.93,73.1
S13,0.07434,34.68,-0.71,73.18
S13,0.07434,34.68,1.51,73.28
S13,0.07434,34.68,3.73,73.38
S13,0.07434,34.65,6.0,73.5
S13,0.07434,34.65,8.33,73.58
S13,0.07434,34.65,10.8,73.65
S13,0.07434,34.65,13.33,73.72
S13,0.07434,34.66,15.93,73.8
S13,0.075621,34.66,18.59,73.85
S13,0.07434,34.66,21.33,73.9
S13,0.07434,34.66,24.17,73.95
S13,0.07434,34.66,27.12,74.02
S13,0.075621,34.66,30.24,74.07
S13,0.07434,34.66,33.59,74.12
S13,0.07434,34.66,37.25,74.17
S13,0.07434,34.66,41.13,74.2
S13,0.07434,34.66,45.18,74.25
S13,0.075621,34.66,49.38,74.3
S13,0.075621,34.66,53.71,74.32
