id,EDA,TEMP,BVP,HR
S19,4.0,4.0,64.0,1.0
S19,0.0,30.93,-0.0,90.0
S19,0.082,30.93,-0.0,82.5
S19,0.123,30.93,-0.0,80.33
S19,0.119157,30.93,-0.0,81.0
S19,0.119157,30.93,-0.0,76.6
S19,0.120438,30.93,-0.0,72.83
S19,0.119157,30.93,-0.0,72.29
S19,0.121719,30.93,-0.0,72.0
S19,0.120438,30.95,-0.0,72.0
S19,0.120438,30.95,-0.0,72.2
S19,0.119157,30.95,0.0,72.45
S19,0.121719,30.95,0.01,72.67
S19,0.120438,30.93,0.01,72.85
S19,0.121719,30.93,-0.0,73.0
S19,0.120438,30.93,-0.03,73.13
S19,0.121719,30.93,-0.05,73.12
S19,0.121719,30.95,-0.05,73.06
S19,0.119157,30.95,0.0,72.89
S19,0.120438,30.95,0.13,72.68
S19,0.120438,30.95,0.36,72.5
S19,0.121719,30.95,0.66,72.33
S19,0.121719,30.95,1.01,72.18
S19,0.120438,30.95,1.37,72.04
S19,0.120438,30.95,1.72,71.88
S19,0.119157,30.95,2.06,71.76
S19,0.121719,30.95,2.4,71.65
S19,0.116594,30.95,2.79,71.56
S19,0.119157,30.95,3.24,71.36
S19,0.116594,30.97,3.8,71.48
S19,0.114032,30.97,4.42,71.6
S19,0.11275,30.97,5.06,71.68
S19,0.115313,30.97,5.66,71.72
S19,0.115313,30.95,6.2,72.03
S19,0.116594,30.95,6.68,72.29
S19,0.114032,30.95,7.15,72.66
S19,0.114032,30.95,7.68,72.97
S19,0.115313,30.95,8.31,73.24
S19,0.115313,30.95,9.14,73.61
S19,0.116594,30.95,10.09,73.77
S19,0.116594,30.95,11.04,73.97
S19,0.115313,30.95,11.88,74.12
S19,0.115313,30.95,12.56,74.29
S19,0.115313,30.95,13.14,74.42
S19,0.117875,30.95,13.76,74.57
S19,0.116594,30.95,14.65,74.73
S19,0.116594,30.95,15.96,74.93
S19,0.116594,30.95,17.91,75.15
S19,0.119157,30.95,20.32,75.4
S19,0.119157,30.95,22.9,75.57
S19,0.116594,30.95,25.38,75.7
S19,0.116594,30.95,27.58,75.8
S19,0.117875,30.95,29.57,75.85
S19,0.117875,30.95,31.68,75.89
S19,0.116594,30.95,34.32,76.0
S19,0.116594,30.95,37.81,76.04
S19,0.117875,30.95,42.54,76.12
S19,0.114032,30.97,48.15,76.3
