id,EDA,TEMP,BVP,HR
S28,4.0,4.0,64.0,1.0
S28,0.0,26.67,-0.0,67.0
S28,0.034596,26.67,-0.0,75.0
S28,0.05766,26.67,-0.0,67.33
S28,0.05766,26.67,-0.0,64.25
S28,0.060223,26.67,-0.0,62.4
S28,0.058941,26.67,-0.0,65.83
S28,0.05766,26.67,-0.0,67.86
S28,0.060223,26.67,-0.0,69.12
S28,0.058941,26.67,-0.0,70.11
S28,0.060223,26.67,-0.0,70.8
S28,0.058941,26.67,0.0,70.91
S28,0.061504,26.67,0.01,70.92
S28,0.058941,26.67,0.01,70.85
S28,0.060223,26.67,-0.0,70.93
S28,0.060223,26.67,-0.03,70.93
S28,0.058941,26.67,-0.05,71.62
S28,0.058941,26.67,-0.05,72.29
S28,0.058941,26.67,0.0,72.83
S28,0.061504,26.67,0.13,73.37
S28,0.060223,26.67,0.36,73.6
S28,0.061504,26.63,0.66,73.76
S28,0.060223,26.63,1.01,73.95
S28,0.061504,26.63,1.37,74.0
S28,0.061504,26.63,1.72,74.21
S28,0.061504,26.65,2.06,74.28
S28,0.061504,26.65,2.4,74.31
S28,0.061504,26.65,2.79,74.33
S28,0.060223,26.65,3.24,74.36
S28,0.060223,26.65,3.8,74.34
S28,0.060223,26.65,4.42,74.4
S28,0.060223,26.65,5.06,74.52
S28,0.060223,26.65,5.66,74.78
S28,0.060223,26.63,6.2,75.0
S28,0.060223,26.63,6.68,75.12
S28,0.060223,26.63,7.15,75.2
S28,0.060223,26.63,7.68,75.31
S28,0.061504,26.59,8.31,75.41
S28,0.061504,26.59,9.14,75.66
S28,0.061504,26.59,10.09,75.97
S28,0.061504,26.59,11.04,76.4
S28,0.062785,26.63,11.88,76.32
S28,0.061504,26.63,12.56,76.4
S28,0.062785,26.63,13.14,76.42
S28,0.061504,26.63,13.76,76.43
S28,0.062785,26.63,14.65,76.53
S28,0.061504,26.63,15.96,76.63
S28,0.061504,26.63,17.91,76.74
S28,0.062785,26.63,20.32,76.85
S28,0.061504,26.63,22.9,76.94
S28,0.062785,26.63,25.38,76.98
S28,0.061504,26.63,27.58,77.1
S28,0.062785,26.63,29.57,77.25
S28,0.062785,26.63,31.68,77.43
S28,0.064067,26.63,34.32,77.61
S28,0.064067,26.63,37.81,77.93
S28,0.064067,26.63,42.54,78.21
S28,0.064067,26.59,48.15,78.42
S28,0.064067,26.59,54.1,78.62
S28,0.062785,26.59,59.83,78.81
S28,0.064067,26.59,64.97,79.0
S28,0.062785,26.61,69.58,79.38
S28,0.061504,26.61,74.14,79.52
S28,0.062785,26.61,79.34,80.18
S28,0.062785,26.61,85.71,80.8
S28,0.062785,26.61,93.76,81.47
S28,0.064067,26.61,103.0,81.68
S28,0.064067,26.61,112.62,81.98
S28,0.064067,26.61,121.73,82.35
S28,0.065348,26.61,129.77,82.73
S28,0.065348,26.61,136.75,83.1
S28,0.066629,26.61,143.3,83.53
S28,0.065348,26.61,150.75,84.0
S28,0.064067,26.61,157.77,84.43
S28,0.062785,26.61,166.64,84.87
S28,0.064067,26.61,177.95,85.33
S28,0.062785,26.61,191.79,85.65
S28,0.062785,26.59,206.97,85.98
S28,0.062785,26.59,220.57,86.42
S28,0.062785,26.59,228.25,86.85
S28,0.064067,26.59,225.36,87.33
S28,0.064067,26.63,208.53,87.83
S28,0.064067,26.63,176.87,88.32
S28,0.064067,26.63,132.76,88.87
S28,0.062785,26.63,80.05,89.42
S28,0.065348,26.59,23.07,90.2
S28,0.064067,26.59,-34.94,90.62
S28,0.065348,26.59,-92.44,90.97
S28,0.065348,26.59,-149.16,91.18
S28,0.064067,26.59,-205.23,91.45
S28,0.065348,26.59,-260.37,91.63
S28,0.065348,26.59,-313.74,91.75
S28,0.065348,26.59,-363.87,91.75
S28,0.064067,26.59,-409.83,91.75
S28,0.064067,26.59,-450.91,91.78
S28,0.062785,26.59,-486.5,91.75
S28,0.064067,26.59,-515.74,91.67
S28,0.064067,26.59,-537.23,91.6
S28,0.064067,26.59,-549.23,91.43
S28,0.064067,26.59,-549.97,91.22
S28,0.064067,26.59,-538.36,90.83
S28,0.064067,26.57,-514.19,90.78
S28,0.066629,26.57,-478.64,90.58
S28,0.065348,26.57,-433.84,90.38
S28,0.064067,26.57,-382.44,90.23
S28,0.066629,26.57,-327.07,90.0
S28,0.065348,26.57,-269.98,89.72
S28,0.066629,26.57,-212.88,89.42
S28,0.065348,26.57,-157.0,89.13
S28,0.066629,26.59,-103.35,88.87
S28,0.064067,26.59,-52.8,88.55
S28,0.065348,26.59,-6.32,88.22
S28,0.065348,26.59,35.17,87.83
S28,0.065348,26.59,71.02,87.42
S28,0.065348,26.59,100.9,87.02
S28,0.065348,26.59,124.97,86.47
