EDA_1645442647.000000,EDA_id,TEMP_1645442647.000000,BVP_1645442647.00,HR_1645442657.000000
4.0,S13,4.0,64.0,1.0
0.0,S13,34.91,-0.0,73.0
0.03717,S13,34.91,-0.0,64.0
0.067931,S13,34.91,-0.0,63.0
0.062804,S13,34.91,-0.0,68.5
0.064086,S13,34.91,-0.0,71.8
0.064086,S13,34.91,-0.0,73.0
0.064086,S13,34.91,-0.0,74.0
0.064086,S13,34.91,-0.0,74.88
0.064086,S13,34.91,-0.0,76.11
0.064086,S13,34.91,-0.0,77.1
0.064086,S13,34.91,0.0,78.0
0.066649,S13,34.91,0.01,78.75
0.064086,S13,34.87,0.01,79.31
0.065368,S13,34.87,-0.0,79.57
0.066649,S13,34.87,-0.03,79.73
0.064086,S13,34.87,-0.05,79.69
0.065368,S13,34.89,-0.05,79.59
0.066649,S13,34.89,0.0,79.39
0.064086,S13,34.89,0.13,79.21
0.064086,S13,34.89,0.36,79.0
0.061522,S13,34.87,0.66,78.38
0.064086,S13,34.87,1.01,77.82
0.069213,S13,34.87,1.37,77.26
0.066649,S13,34.87,1.72,76.75
0.067931,S13,34.87,2.06,76.24
0.069213,S13,34.87,2.4,75.77
0.070494,S13,34.87,2.79,75.33
0.069213,S13,34.87,3.24,74.93
0.070494,S13,34.77,3.8,74.55
0.071776,S13,34.77,4.42,74.2
0.070494,S13,34.77,5.06,73.9
0.070494,S13,34.77,5.66,73.62
0.070494,S13,34.68,6.2,73.36
0.069213,S13,34.68,6.68,73.12
0.070494,S13,34.68,7.15,72.86
0.069213,S13,34.68,7.68,72.61
0.070494,S13,34.63,8.31,72.38
0.070494,S13,34.63,9.14,72.13
0.070494,S13,34.63,10.09,71.9
0.070494,S13,34.63,11.04,71.68
0.070494,S13,34.63,11.88,71.46
0.070494,S13,34.63,12.56,71.26
0.071776,S13,34.63,13.14,71.07
0.070494,S13,34.63,13.76,70.89
0.071776,S13,34.61,14.65,70.71
0.071776,S13,34.61,15.96,70.54
0.067931,S13,34.61,17.91,70.4
0.065368,S13,34.61,20.32,70.27
0.065368,S13,34.59,22.9,70.14
0.070494,S13,34.59,25.38,70.02
0.062804,S13,34.59,27.58,69.9
0.061522,S13,34.59,29.57,69.79
0.053832,S13,34.71,31.68,69.66
0.070494,S13,34.71,34.32,69.54
0.065368,S13,34.71,37.81,69.42
0.064086,S13,34.71,42.54,69.3
0.062804,S13,34.53,48.15,69.19
0.055114,S13,34.53,54.1,69.07
0.056396,S13,34.53,59.83,68.97
0.061522,S13,34.53,64.97,68.87
0.056396,S13,34.65,69.58,68.7
0.056396,S13,34.65,74.14,68.83
0.056396,S13,34.65,79.34,68.87
0.055114,S13,34.65,85.71,68.52
0.056396,S13,34.77,93.76,68.15
0.056396,S13,34.77,103.0,67.9
0.057677,S13,34.77,112.62,67.63
0.058959,S13,34.77,121.73,67.33
0.058959,S13,34.77,129.77,66.97
0.057677,S13,34.77,136.75,66.6
0.065368,S13,34.77,143.3,66.22
0.062804,S13,34.77,150.75,65.83
0.061522,S13,34.79,157.77,65.47
0.062804,S13,34.79,166.64,65.15
0.062804,S13,34.79,177.95,64.83
0.062804,S13,34.79,191.79,64.57
0.064086,S13,34.77,206.97,64.5
0.065368,S13,34.77,220.57,64.5
0.065368,S13,34.77,228.25,64.52
0.064086,S13,34.77,225.36,64.57
0.064086,S13,34.75,208.53,64.78
0.065368,S13,34.75,176.87,64.97
0.065368,S13,34.75,132.76,65.15
0.064086,S13,34.75,80.05,65.2
0.065368,S13,34.75,23.07,65.28
0.065368,S13,34.75,-34.94,65.37
0.064086,S13,34.75,-92.44,65.45
0.064086,S13,34.75,-149.16,65.52
0.064086,S13,34.75,-205.23,65.58
0.064086,S13,34.75,-260.37,65.62
0.065368,S13,34.75,-313.74,65.63
0.065368,S13,34.75,-363.87,65.63
0.064086,S13,34.77,-409.83,65.63
0.064086,S13,34.77,-450.91,65.62
0.064086,S13,34.77,-486.5,65.6
0.064086,S13,34.77,-515.74,65.57
0.064086,S13,34.75,-537.23,65.53
0.064086,S13,34.75,-549.22,65.52
0.064086,S13,34.75,-549.96,65.5
0.064086,S13,34.75,-538.37,65.5
0.064086,S13,34.73,-514.21,65.5
0.065368,S13,34.73,-478.67,65.82
0.066649,S13,34.73,-433.88,66.13
0.070494,S13,34.73,-382.45,66.43
0.070494,S13,34.73,-327.02,66.75
0.064086,S13,34.73,-269.84,67.07
0.064086,S13,34.73,-212.63,67.33
0.064086,S13,34.73,-156.66,67.6
0.064086,S13,34.75,-102.95,67.93
0.064086,S13,34.75,-52.38,68.23
0.065368,S13,34.75,-5.91,68.53
0.064086,S13,34.75,35.58,68.82
0.064086,S13,34.73,71.43,68.97
